Topic,Count,Name,Representation,Representative_Docs
9,10,9_investments_inefficient_restructuring_distorted,"['investments', 'inefficient', 'restructuring', 'distorted', 'capital', 'capacity', 'competition', 'allocation', 'idle', 'impeded']","['The industry grows rapidly in size and capacity, but risks misallocation and poor product-market fit.', 'Idle capital and inefficient production capacity result.', 'Competition is criticized as wasteful and associated with higher prices and difficulty for domestic suppliers to make long-term capacity investments.']"
10,10,10_export_suppliers_credits_years,"['export', 'suppliers', 'credits', 'years', 'marketingassistance', 'programmes', 'palm', 'outward', 'oil', 'submit']","['Firms are better able to comply with export offset demands and compete internationally.', 'Suppliers must submit and implement business projects to generate credits meeting a 30 percent imported-content obligation within 7 years.', 'Export credits and job creation figures are complicated, with an example where full product value could be claimed as export credit.']"
11,10,11_import_used_secure_program,"['import', 'used', 'secure', 'program', 'percent', 'access', 'requires', 'supplies', 'tech', 'anchored']","['The UK secures meaningful industrial participation (jobs, exports, potential tech access) tied to a large global program rather than a one-off offset package.', 'Offset activity is structured around meeting a quantified imported-content obligation rather than being purely ad hoc or discretionary.', 'Offsets compliance is anchored to 30 percent of import content (negotiable) and requires at least 50 percent local value-added for ANZ-sourced supplies.']"
12,10,12_employment_created_creation_limited,"['employment', 'created', 'creation', 'limited', 'is', 'local', 'hegemony', 'channeled', 'captured', '90']","['Jobs may be created but with high fiscal burden and uncertain net employment effects over time.', 'Around 90 percent of DIP business is channeled to Gauteng, with minimal benefits for peripheral regions.', 'Gauteng’s hegemony is reinforced and employment creation is limited, especially in the periphery.']"
13,10,13_defense_costly_procurement_civilian,"['defense', 'costly', 'procurement', 'civilian', 'public', 'welfare', 'increases', 'military', 'sizable', 'community']","['Belgium pays a sizable procurement penalty that crowds out other defense budget categories.', 'Public acceptance of costly defense procurement increases, even if development benefits are overstated.', 'Social welfare can be reduced unless military-industry returns exceed those of foregone civilian uses.']"
14,9,14_aircraft_aerospace_korea_capability,"['aircraft', 'aerospace', 'korea', 'capability', 'production', 'advanced', 'improves', 'military', 'producing', 'platform']","['Embraer survives the military downturn by shifting to civil aviation, sustaining aerospace capability despite reduced military sales.', 'Korea improves access to foreign capabilities and streamlines domestic aerospace production.', 'IPTN increases domestic content in aircraft production and gains experience producing components for advanced foreign aircraft.']"
15,9,15_packages_pursued_package_nonstandardised,"['packages', 'pursued', 'package', 'nonstandardised', 'persistence', 'implemented', 'prenegotiated', 'preproduction', 'postproduction', 'frameworks']","['Larger offset packages are pursued.', 'Government persistence with Coega is linked to the need for offsets sites and deliverables.', 'The agreed F-16 package falls short of the statutory 50% direct-offset requirement (by net value as reported).']"
16,9,16_implementation_continuity_challenging_tighter,"['implementation', 'continuity', 'challenging', 'tighter', 'offsetstyle', 'change', 'coherent', 'concession', 'perception', 'control']","['Offsets can become an inappropriate policy instrument relative to direct reforms, with likely inefficiency.', 'National offset strategies diverge in approach (perception more than results) and in institutional implementation.', 'Organized labor resists direct offsets and pressures governments for tighter controls.']"
17,9,17_not_official_achieved_fully,"['not', 'official', 'achieved', 'fully', 'fulfillment', 'government', 'was', 'high', 'suspensionresignation', 'found']","['Economic policy goals (employment and SME export support) are not satisfactorily achieved despite high nominal fulfillment rates.', 'The joint investigation found no unlawful conduct by government but pointed to improper behavior and conflicts of interest, followed by suspension/resignation of a senior official.', 'Government objectives were not fully achieved and the programme was not successful.']"
18,9,18_values_remain_under_persist,"['values', 'remain', 'under', 'persist', 'offsets', 'indirect', '20162020', 'distortions', 'attainable', 'decline']","['Offsets remain in use, possibly “under the table.”', 'Offsets remain attainable and persist even under supply-constrained conditions.', 'Reported offset package values can diverge materially from underlying nominal values and become less transparent.']"
19,8,19_projects_edf_collaborative_delays,"['projects', 'edf', 'collaborative', 'delays', 'experience', 'project', 'national', 'workshare', 'aims', 'perceived']","['Lower national participation in EDF projects.', 'Higher participation in EDF projects.', 'Collaborative project efficiency may improve when work-share constraints are relaxed, though national industries may resist perceived disadvantage.']"
20,8,20_evaluation_net_costbenefit_better,"['evaluation', 'net', 'costbenefit', 'better', 'dataregular', 'auditability', 'ambiguity', 'clear', 'inherently', 'comparing']","['Management costs are significant and cost-benefit analysis is undermined, prompting recommendations for better advance planning and fewer targeted activities.', 'Evaluation exercises face ambiguity and may fail to establish clear net benefits.', 'National conclusions on net gains are controversial and improved data/regular reviews are needed for better evaluation.']"
21,8,21_defense_industry_itself_singapores,"['defense', 'industry', 'itself', 'singapores', 'nonviable', 'militaryindustrial', 'cartellike', 'below', 'defenserelated', 'revenue']","['Sustaining defense-related industry capabilities is difficult even when offsets fund initial investments.', 'Japan’s defense industry operates far below capacity and struggles to sustain itself.', 'Singapore’s defense industry becomes more financially resilient, with substantial revenue from non-military work.']"
22,8,22_defenseindustrial_defense_trade_toward,"['defenseindustrial', 'defense', 'trade', 'toward', 'reemerge', 'mechanism', 'steered', 'narrower', 'prominent', 'features']","['Offsets/DIP are positioned as the mechanism to sustain a narrower, niche-oriented defence industrial base with strategic support functions.', 'Offsets and offset-like industrial compensation features remain persistent in defense contracts with these countries.', 'Offsets are steered toward defense-industrial participation and technology transfer rather than purely civilian trade.']"
23,8,23_regional_chapter_not_argues,"['regional', 'chapter', 'not', 'argues', 'did', 'substantially', 'has', 'have', 'claim', 'tools']","['The chapter concludes government cannot claim South Africa benefitted from the arms offset route and suggests alternative investment priorities for mass employment creation.', 'The chapter argues a genuine potential linkage of offsets to steel and shipbuilding in KwaZulu Natal did not move forward.', 'The chapter argues linking offsets to Coega has not been successful and has not contributed substantially to provincial betterment in the short term.']"
24,7,24_supply_security_greater_improved,"['supply', 'security', 'greater', 'improved', 'improves', 'reasons', 'trust', 'transition', 'energy', 'needed']","['Greater transparency is needed for economic reasons.', 'Supply-chain integration improves and security of supply may benefit.', 'Security of supply improves.']"
25,7,25_poland_content_services_plus,"['poland', 'content', 'services', 'plus', 'standards', 'smokeandmirrors', 'engages', 'structures', 'takes', 'traditional']","['Vehicle production is established in Poland and local content increases substantially over time.', 'Poland engages readily in modern defense offset deals and can negotiate within a “smoke-and-mirrors” environment.', 'Poland adopts NATO procurement standards and uses offsets to assist development of domestic industry alongside modernization.']"
26,6,26_contracting_toward_1980s_late,"['contracting', 'toward', '1980s', 'late', 'department', 'documented', 'multiproject', 'embed', '29', 'consolidation']","['Defence procurement bids are evaluated on long-term partnership plans and documented efforts to provide local firms with contracting opportunities.', 'Australia’s Department of Defense calculated a 29 percent premium for local industry participation in F/A-18 assembly in the late 1980s.', 'Procurement governance trends toward consolidation of prime contracting and multi-project planning to sustain key defence-related industry capabilities.']"
27,6,27_procurement_trade_accommodate_flows,"['procurement', 'trade', 'accommodate', 'flows', 'governmenttogovernment', 'divisions', 'coupled', 'corporate', 'affecting', 'cashonly']","['Best-value procurement is modified to accommodate partnership politics and maintain partner support.', 'Foreign procurement is coupled with domestic partnering and licensing arrangements that enable local participation.', 'Procurement becomes a protectionist/trade-restricting arrangement that shapes trade flows beyond the base arms purchase.']"
28,6,28_transfer_technology_fail_deliver,"['transfer', 'technology', 'fail', 'deliver', 'largemarket', 'deepen', 'fails', 'unclear', 'involving', 'desired']","['Responsibility for technology transfer is unclear, weakening TAC outcomes.', 'Buyback arrangements associated with technology transfer fail to deliver desired results.', 'Mandatory schemes can fail to deliver intended technology transfer and instead increase costs and administrative burden.']"
29,5,29_singapore_warships_selected_indigenous,"['singapore', 'warships', 'selected', 'indigenous', 'worlds', 'five', 'locally', 'hosts', 'nextgeneration', 'rungs']","['Singapore develops indigenous naval platforms and indigenous small arms after earlier licensed production.', 'Singapore remains self-sufficient only in selected categories and continues licensing for next-generation warships.', 'Singapore remains at lower rungs of the ladder and sustains selected indigenous capabilities.']"
30,5,30_acquisitions_suppliers_jsfstyle_ventures,"['acquisitions', 'suppliers', 'jsfstyle', 'ventures', 'pumppriming', 'knowledge', 'jsf', 'decreases', 'chains', 'zbrojeniowka']","['Acquisitions are accompanied by substantial direct industrial participation aimed at zbrojeniowka.', 'Joint ventures and technology transfers increase, with evidence of export impacts and integration into European global supply chains.', 'The scope for sourcing equipment from non-US suppliers decreases and JSF-style buy-multinational procurement may dominate future large acquisitions.']"
31,5,31_power_security_national_affected,"['power', 'security', 'national', 'affected', 'network', 'peripheral', 'struggle', 'state', 'positions', 'undermine']","['National security is strengthened through offsets.', 'Peripheral positions with limited power persist.', 'State position and power in the network are affected.']"
32,5,32_indonesia_indigenous_n250_measurable,"['indonesia', 'indigenous', 'n250', 'measurable', 'sustainmentrelated', 'prototypes', 'institutions', 'illusory', 'dry', 'sparingly']","['Indonesia pursues ambitious indigenous production programs, while Singapore uses offsets sparingly and mainly for sustainment-related technology.', 'Indonesia struggles to export indigenous civil aircraft (N-250) and orders dry up.', 'Indonesia advances to indigenous design prototypes but remains dependent on foreign subsystems.']"
33,5,33_achievements_varying_spatial_rebalancing,"['achievements', 'varying', 'spatial', 'rebalancing', 'phenomenon', 'geography', 'follow', 'degrees', 'zealand', 'lag']","['Offset strategy is used as an industrial policy instrument, though achievements may lag aspirations.', 'Offset project geography and sectoral emphasis largely follow existing spatial patterns, with limited rebalancing.', 'Offsets are framed as instruments to develop and sustain New Zealand industrial capability beyond simple local content.']"
34,5,34_nzip_participation_can_cycle,"['nzip', 'participation', 'can', 'cycle', 'mandating', 'encourages', 'inflexibility', 'trigger', 'sustainmentrelevant', 'competitively']","['NZIP deliverables become enforceable contract obligations, with incentives to prioritize higher-valued participation activities.', 'NZIP encourages local involvement across the product life cycle where competitive opportunities exist, without mandating participation in all cases.', 'High NZIP participation can reduce offset obligations, while low NZIP participation can trigger requirements for additional offsets.']"
35,5,35_price_1015_equivalent_pricediscount,"['price', '1015', 'equivalent', 'pricediscount', 'included', 'bundled', 'finland', 'main', 'fms', 'higher']","['The main FMS price is higher when offsets are included.', 'The buyer effectively pays for the bundled offset through a higher primary price.', 'Offsets are politically attractive and more likely to be chosen than equivalent price-discount approaches.']"
36,5,36_via_unlikely_realized_technology,"['via', 'unlikely', 'realized', 'technology', 'transfer', 'canceled', 'questioned', 'planned', 'economywide', 'enhancement']","['Technology transfer via offsets may yield little or no positive impact on development.', 'Promised economy-wide benefits are unlikely to be realized and technology enhancement is difficult to achieve via offsets alone.', 'Technology-transfer via direct military offsets is unlikely to deliver efficient development gains.']"
37,4,37_trade_genuinely_persisted_distorting,"['trade', 'genuinely', 'persisted', 'distorting', 'displace', 'destroy', 'conserved', 'reflect', 'underlying', 'economically']","['Offsets are economically inefficient and trade distorting.', 'Foreign exchange is not genuinely conserved; offset trade can reflect underlying inefficiency.', 'Offsets displace trade (and may destroy some) rather than create additional trade.']"
38,4,38_swiss_german_firms_access,"['swiss', 'german', 'firms', 'access', 'entry', 'win', 'enterprises', 'cooperate', 'outsider', 'economies']","['Swiss enterprises gain improved market access.', 'Domestic firms build capabilities and improve access to third markets via reputational economies.', 'Foreign firms must cooperate with German partners to win contracts, sustaining German industrial participation and limiting outsider entry.']"
39,4,39_incentives_have_contractors_timeframe,"['incentives', 'have', 'contractors', 'timeframe', 'book', 'propose', 'technologyintensive', 'relabeled', 'stronger', 'lowvalue']","['Offset incentives may have limited effect on contractor behavior.', 'Contractors have incentives to propose and book offset credit in technology-intensive activities rather than low-value or relabeled work.', 'Foreign contractors have stronger incentives to deliver promised offset content.']"
40,4,40_recommended_offsetlinked_selfdefense_an,"['recommended', 'offsetlinked', 'selfdefense', 'an', 'aii', 'intensifies', 'throughlife', 'argued', 'negotiating', 'sustainability']","['An integrated framework is recommended to improve sustainability of self-reliance and reduce long-run burdens.', 'AII is argued to require an emphasis shift toward through-life support for largely imported weapon systems.', 'Japan sustains domestic defense production and technology capability and increases negotiating power when importing equipment.']"
41,4,41_japan_transfers_programs_hampered,"['japan', 'transfers', 'programs', 'hampered', 'receives', 'offsetpolicy', 'absence', 'importedtechnology', 'missing', 'largescale']","['Japan’s ability to sustain imported-technology inflows into its industrial base is hampered.', 'Potential offsets and technology transfers from multinational programs may be constrained for Japan.', 'Japan risks missing opportunities for offset-like work shares and technology access in new international programs.']"
42,4,42_shifts_content_local_toward,"['shifts', 'content', 'local', 'toward', 'sidalinked', 'sida', 'behaviour', 'projectspecific', 'dominated', 'nation']","['Economic activity shifts toward the purchasing nation.', 'Industry involvement shifts toward a mix dominated by local content with a smaller share of SIDA activities, with likely premiums for some SIDA-linked sourcing.', 'Policy emphasis shifts from project-specific local content to broader, ongoing supplier engagement with the domestic economy, including export-oriented behaviour.']"
43,4,43_african_stakeholders_corvette_south,"['african', 'stakeholders', 'corvette', 'south', 'shipbuilding', 'was', 'view', 'cabling', 'argue', 'construction']","['There are no defence offset investments in shipbuilding proper, and stakeholders argue this dilutes technological expertise.', 'Corvette delivery was delayed by a year due to faulty cabling installed by a South African company.', 'South African shipbuilding stakeholders view lack of participation in corvette construction as a grievance and missed capability-building opportunity.']"
44,4,44_manufacturers_20_originally_nondefense,"['manufacturers', '20', 'originally', 'nondefense', 'contracted', 'invested', 'turnover', 'defence', 'actual', 'spending']","['Actual investments delivered by defense manufacturers are reduced.', 'Defence firms reduce defence dependence to under 20 percent of turnover as spending declines.', 'Defense manufacturers invested far less than originally contracted.']"
45,3,45_compliance_varies_against_rent,"['compliance', 'varies', 'against', 'rent', 'extraction', 'dominance', 'enforcement', 'that', 'sectoral', 'off']","['There is a risk that some obligations are not fulfilled because firms may choose to pay agreed penalties.', 'Enforcement design varies, trading off price impacts against compliance incentives.', 'Compliance administration can create risks of rent extraction and sectoral dominance that diverge from broader strategic or economic objectives.']"
46,3,46_abroad_demand_aiding_pervasive,"['abroad', 'demand', 'aiding', 'pervasive', 'criticized', 'grows', 'tradedistorting', 'practices', 'shifting', 'increasingly']","['Offset demand grows.', 'Offsets are criticized as aiding competitors, shifting employment abroad, and increasing acquisition costs.', 'Offset practices become more pervasive and increasingly trade-distorting over time.']"
