Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document,source_file,doc_id,cmo_id,outcome
The economic burden of the arms deal is softened (to a limited extent).,1,1_arms_the_deal_market,"['arms', 'the', 'deal', 'market', 'opposition', 'taxpayer', 'external', 'of', 'political', 'partially']","['Net inflows of capital can partially mitigate the development cost of the arms purchase.', 'The arms deal produces damaging political fallout, including investigations and public evidence of improper practices.', 'The economic burden of the arms deal is softened (to a limited extent).']",arms - the - deal - market - opposition - taxpayer - external - of - political - partially,0.8235525292909585,True,cmo/arms_trade_offsets_chapters.yml,01-do-offsets-mitigate-or-magnify-the-military-burden.pdf,01_do_offsets_mitigate_or_magnify_the_military_burden_pdf__cmo_011,The economic burden of the arms deal is softened (to a limited extent).
Net inflows of capital can partially mitigate the development cost of the arms purchase.,1,1_arms_the_deal_market,"['arms', 'the', 'deal', 'market', 'opposition', 'taxpayer', 'external', 'of', 'political', 'partially']","['Net inflows of capital can partially mitigate the development cost of the arms purchase.', 'The arms deal produces damaging political fallout, including investigations and public evidence of improper practices.', 'The economic burden of the arms deal is softened (to a limited extent).']",arms - the - deal - market - opposition - taxpayer - external - of - political - partially,0.4599478522905065,True,cmo/arms_trade_offsets_chapters.yml,01-do-offsets-mitigate-or-magnify-the-military-burden.pdf,01_do_offsets_mitigate_or_magnify_the_military_burden_pdf__cmo_012,Net inflows of capital can partially mitigate the development cost of the arms purchase.
The domestic shortage of financial capital is exacerbated and development can be impeded.,9,9_investments_inefficient_restructuring_distorted,"['investments', 'inefficient', 'restructuring', 'distorted', 'capital', 'capacity', 'competition', 'allocation', 'idle', 'impeded']","['The industry grows rapidly in size and capacity, but risks misallocation and poor product-market fit.', 'Idle capital and inefficient production capacity result.', 'Competition is criticized as wasteful and associated with higher prices and difficulty for domestic suppliers to make long-term capacity investments.']",investments - inefficient - restructuring - distorted - capital - capacity - competition - allocation - idle - impeded,1.0,False,cmo/arms_trade_offsets_chapters.yml,01-do-offsets-mitigate-or-magnify-the-military-burden.pdf,01_do_offsets_mitigate_or_magnify_the_military_burden_pdf__cmo_013,The domestic shortage of financial capital is exacerbated and development can be impeded.
Skill acquisition via direct offsets yields limited development benefit and may be inefficient for resource-constrained countries.,-1,-1_and_offsets_is_the,"['and', 'offsets', 'is', 'the', 'benefits', 'offset', 'on', 'of', 'technology', 'to']","['Foreign producers face more stringent offset demands and Korea gains leverage in negotiating industrial and technology benefits.', 'A substantial share of promised benefits is routed through indirect offsets and inward investment rather than direct defence-related participation.', 'Technology transfers are limited and Taiwan remains dependent on foreign technology and imports.']",and - offsets - is - the - benefits - offset - on - of - technology - to,0.0,False,cmo/arms_trade_offsets_chapters.yml,01-do-offsets-mitigate-or-magnify-the-military-burden.pdf,01_do_offsets_mitigate_or_magnify_the_military_burden_pdf__cmo_014,Skill acquisition via direct offsets yields limited development benefit and may be inefficient for resource-constrained countries.
Development is hindered unless the offset activity has substantially greater development value than displaced civilian activity.,-1,-1_and_offsets_is_the,"['and', 'offsets', 'is', 'the', 'benefits', 'offset', 'on', 'of', 'technology', 'to']","['Foreign producers face more stringent offset demands and Korea gains leverage in negotiating industrial and technology benefits.', 'A substantial share of promised benefits is routed through indirect offsets and inward investment rather than direct defence-related participation.', 'Technology transfers are limited and Taiwan remains dependent on foreign technology and imports.']",and - offsets - is - the - benefits - offset - on - of - technology - to,0.0,False,cmo/arms_trade_offsets_chapters.yml,01-do-offsets-mitigate-or-magnify-the-military-burden.pdf,01_do_offsets_mitigate_or_magnify_the_military_burden_pdf__cmo_015,Development is hindered unless the offset activity has substantially greater development value than displaced civilian activity.
Human-capital accumulation is more likely to contribute positively to development than offsets that rely on hiring existing skilled workers.,4,4_growth_mohair_industrial_national,"['growth', 'mohair', 'industrial', 'national', 'domestic', 'development', 'manufacturing', 'capability', 'integration', 'intensify']","['Cape Mohair expands niche production but becomes short of machinery for bulk-oriented manufacture of mohair tops.', 'Industrial participation is incorporated after initial deliveries, supporting domestic capability growth.', 'Domestic industrial capability and exportable product lines expand during the growth period.']",growth - mohair - industrial - national - domestic - development - manufacturing - capability - integration - intensify,0.6249447226104083,False,cmo/arms_trade_offsets_chapters.yml,01-do-offsets-mitigate-or-magnify-the-military-burden.pdf,01_do_offsets_mitigate_or_magnify_the_military_burden_pdf__cmo_016,Human-capital accumulation is more likely to contribute positively to development than offsets that rely on hiring existing skilled workers.
Technology-transfer via direct military offsets is unlikely to deliver efficient development gains.,36,36_via_unlikely_realized_technology,"['via', 'unlikely', 'realized', 'technology', 'transfer', 'canceled', 'questioned', 'planned', 'economywide', 'enhancement']","['Technology transfer via offsets may yield little or no positive impact on development.', 'Promised economy-wide benefits are unlikely to be realized and technology enhancement is difficult to achieve via offsets alone.', 'Technology-transfer via direct military offsets is unlikely to deliver efficient development gains.']",via - unlikely - realized - technology - transfer - canceled - questioned - planned - economywide - enhancement,1.0,True,cmo/arms_trade_offsets_chapters.yml,01-do-offsets-mitigate-or-magnify-the-military-burden.pdf,01_do_offsets_mitigate_or_magnify_the_military_burden_pdf__cmo_017,Technology-transfer via direct military offsets is unlikely to deliver efficient development gains.
Technology transfer via offsets may yield little or no positive impact on development.,36,36_via_unlikely_realized_technology,"['via', 'unlikely', 'realized', 'technology', 'transfer', 'canceled', 'questioned', 'planned', 'economywide', 'enhancement']","['Technology transfer via offsets may yield little or no positive impact on development.', 'Promised economy-wide benefits are unlikely to be realized and technology enhancement is difficult to achieve via offsets alone.', 'Technology-transfer via direct military offsets is unlikely to deliver efficient development gains.']",via - unlikely - realized - technology - transfer - canceled - questioned - planned - economywide - enhancement,1.0,True,cmo/arms_trade_offsets_chapters.yml,01-do-offsets-mitigate-or-magnify-the-military-burden.pdf,01_do_offsets_mitigate_or_magnify_the_military_burden_pdf__cmo_018,Technology transfer via offsets may yield little or no positive impact on development.
Indirect offsets have a higher probability of yielding positive technology-related development benefits than direct offsets.,-1,-1_and_offsets_is_the,"['and', 'offsets', 'is', 'the', 'benefits', 'offset', 'on', 'of', 'technology', 'to']","['Foreign producers face more stringent offset demands and Korea gains leverage in negotiating industrial and technology benefits.', 'A substantial share of promised benefits is routed through indirect offsets and inward investment rather than direct defence-related participation.', 'Technology transfers are limited and Taiwan remains dependent on foreign technology and imports.']",and - offsets - is - the - benefits - offset - on - of - technology - to,0.0,False,cmo/arms_trade_offsets_chapters.yml,01-do-offsets-mitigate-or-magnify-the-military-burden.pdf,01_do_offsets_mitigate_or_magnify_the_military_burden_pdf__cmo_019,Indirect offsets have a higher probability of yielding positive technology-related development benefits than direct offsets.
Offsets influence supplier selection (and at most marginal quantities) rather than fundamentally driving procurement need or type.,0,0_procurement_offset_costs_influence,"['procurement', 'offset', 'costs', 'influence', 'are', 'packages', 'proposals', 'procurements', 'quantities', 'bundling']","['Mandatory bundling can prevent optimal outcomes and increase total costs relative to precise, negotiated bundling (or separate sourcing).', 'Best-endeavors and mandatory offsets are characterized as inefficient and poorly targeted, and the chapter argues capability requirements are better negotiated directly within procurement contracts.', 'Offsets influence supplier selection (and at most marginal quantities) rather than fundamentally driving procurement need or type.']",procurement - offset - costs - influence - are - packages - proposals - procurements - quantities - bundling,1.0,True,cmo/arms_trade_offsets_chapters.yml,01-do-offsets-mitigate-or-magnify-the-military-burden.pdf,01_do_offsets_mitigate_or_magnify_the_military_burden_pdf__cmo_020,Offsets influence supplier selection (and at most marginal quantities) rather than fundamentally driving procurement need or type.
Arms purchases that would otherwise face opposition can proceed more readily.,1,1_arms_the_deal_market,"['arms', 'the', 'deal', 'market', 'opposition', 'taxpayer', 'external', 'of', 'political', 'partially']","['Net inflows of capital can partially mitigate the development cost of the arms purchase.', 'The arms deal produces damaging political fallout, including investigations and public evidence of improper practices.', 'The economic burden of the arms deal is softened (to a limited extent).']",arms - the - deal - market - opposition - taxpayer - external - of - political - partially,0.8235525292909585,False,cmo/arms_trade_offsets_chapters.yml,01-do-offsets-mitigate-or-magnify-the-military-burden.pdf,01_do_offsets_mitigate_or_magnify_the_military_burden_pdf__cmo_021,Arms purchases that would otherwise face opposition can proceed more readily.
"Direct offsets are adopted, sustaining local military industry and shaping procurement arrangements.",-1,-1_and_offsets_is_the,"['and', 'offsets', 'is', 'the', 'benefits', 'offset', 'on', 'of', 'technology', 'to']","['Foreign producers face more stringent offset demands and Korea gains leverage in negotiating industrial and technology benefits.', 'A substantial share of promised benefits is routed through indirect offsets and inward investment rather than direct defence-related participation.', 'Technology transfers are limited and Taiwan remains dependent on foreign technology and imports.']",and - offsets - is - the - benefits - offset - on - of - technology - to,0.0,False,cmo/arms_trade_offsets_chapters.yml,01-do-offsets-mitigate-or-magnify-the-military-burden.pdf,01_do_offsets_mitigate_or_magnify_the_military_burden_pdf__cmo_022,"Direct offsets are adopted, sustaining local military industry and shaping procurement arrangements."
Offsets are more likely to modestly soften procurement’s economic burden and support broader development objectives (subject to practical enforceability).,0,0_procurement_offset_costs_influence,"['procurement', 'offset', 'costs', 'influence', 'are', 'packages', 'proposals', 'procurements', 'quantities', 'bundling']","['Mandatory bundling can prevent optimal outcomes and increase total costs relative to precise, negotiated bundling (or separate sourcing).', 'Best-endeavors and mandatory offsets are characterized as inefficient and poorly targeted, and the chapter argues capability requirements are better negotiated directly within procurement contracts.', 'Offsets influence supplier selection (and at most marginal quantities) rather than fundamentally driving procurement need or type.']",procurement - offset - costs - influence - are - packages - proposals - procurements - quantities - bundling,1.0,False,cmo/arms_trade_offsets_chapters.yml,01-do-offsets-mitigate-or-magnify-the-military-burden.pdf,01_do_offsets_mitigate_or_magnify_the_military_burden_pdf__cmo_023,Offsets are more likely to modestly soften procurement’s economic burden and support broader development objectives (subject to practical enforceability).
Procurement becomes less price-disciplined and can be less efficient than market exchange.,2,2_welfare_price_discounts_bargaining,"['welfare', 'price', 'discounts', 'bargaining', 'relative', 'more', 'foregone', 'settings', 'schemes', 'reduced']","['Buyers face reduced scope for price discounts.', 'Welfare falls relative to using market exchange (and price discounts when government has bargaining power).', 'Welfare is reduced because foregone price discounts exceed the benefits of offsets in these settings.']",welfare - price - discounts - bargaining - relative - more - foregone - settings - schemes - reduced,1.0,False,cmo/arms_trade_offsets_chapters.yml,02-using-procurement-offsets-as-an-economic-development-strategy.pdf,02_using_procurement_offsets_as_an_economic_development_strategy_pdf__cmo_001,Procurement becomes less price-disciplined and can be less efficient than market exchange.
Governments receive industrial/technology/market-access benefits tied to the purchase rather than only a lower base price.,2,2_welfare_price_discounts_bargaining,"['welfare', 'price', 'discounts', 'bargaining', 'relative', 'more', 'foregone', 'settings', 'schemes', 'reduced']","['Buyers face reduced scope for price discounts.', 'Welfare falls relative to using market exchange (and price discounts when government has bargaining power).', 'Welfare is reduced because foregone price discounts exceed the benefits of offsets in these settings.']",welfare - price - discounts - bargaining - relative - more - foregone - settings - schemes - reduced,0.9532556611010977,False,cmo/arms_trade_offsets_chapters.yml,02-using-procurement-offsets-as-an-economic-development-strategy.pdf,02_using_procurement_offsets_as_an_economic_development_strategy_pdf__cmo_002,Governments receive industrial/technology/market-access benefits tied to the purchase rather than only a lower base price.
Offsets are politically attractive and more likely to be chosen than equivalent price-discount approaches.,35,35_price_1015_equivalent_pricediscount,"['price', '1015', 'equivalent', 'pricediscount', 'included', 'bundled', 'finland', 'main', 'fms', 'higher']","['The main FMS price is higher when offsets are included.', 'The buyer effectively pays for the bundled offset through a higher primary price.', 'Offsets are politically attractive and more likely to be chosen than equivalent price-discount approaches.']",price - 1015 - equivalent - pricediscount - included - bundled - finland - main - fms - higher,1.0,True,cmo/arms_trade_offsets_chapters.yml,02-using-procurement-offsets-as-an-economic-development-strategy.pdf,02_using_procurement_offsets_as_an_economic_development_strategy_pdf__cmo_003,Offsets are politically attractive and more likely to be chosen than equivalent price-discount approaches.
Welfare losses arise and a more selective or flexible policy is preferable in most settings.,2,2_welfare_price_discounts_bargaining,"['welfare', 'price', 'discounts', 'bargaining', 'relative', 'more', 'foregone', 'settings', 'schemes', 'reduced']","['Buyers face reduced scope for price discounts.', 'Welfare falls relative to using market exchange (and price discounts when government has bargaining power).', 'Welfare is reduced because foregone price discounts exceed the benefits of offsets in these settings.']",welfare - price - discounts - bargaining - relative - more - foregone - settings - schemes - reduced,1.0,False,cmo/arms_trade_offsets_chapters.yml,02-using-procurement-offsets-as-an-economic-development-strategy.pdf,02_using_procurement_offsets_as_an_economic_development_strategy_pdf__cmo_004,Welfare losses arise and a more selective or flexible policy is preferable in most settings.
"Mandatory offsets become justified in a narrow set of settings; otherwise, other instruments (markets, alliances, turnkey, product_in_hand) dominate.",-1,-1_and_offsets_is_the,"['and', 'offsets', 'is', 'the', 'benefits', 'offset', 'on', 'of', 'technology', 'to']","['Foreign producers face more stringent offset demands and Korea gains leverage in negotiating industrial and technology benefits.', 'A substantial share of promised benefits is routed through indirect offsets and inward investment rather than direct defence-related participation.', 'Technology transfers are limited and Taiwan remains dependent on foreign technology and imports.']",and - offsets - is - the - benefits - offset - on - of - technology - to,0.0,False,cmo/arms_trade_offsets_chapters.yml,02-using-procurement-offsets-as-an-economic-development-strategy.pdf,02_using_procurement_offsets_as_an_economic_development_strategy_pdf__cmo_005,"Mandatory offsets become justified in a narrow set of settings; otherwise, other instruments (markets, alliances, turnkey, product_in_hand) dominate."
Welfare falls relative to using market exchange (and price discounts when government has bargaining power).,2,2_welfare_price_discounts_bargaining,"['welfare', 'price', 'discounts', 'bargaining', 'relative', 'more', 'foregone', 'settings', 'schemes', 'reduced']","['Buyers face reduced scope for price discounts.', 'Welfare falls relative to using market exchange (and price discounts when government has bargaining power).', 'Welfare is reduced because foregone price discounts exceed the benefits of offsets in these settings.']",welfare - price - discounts - bargaining - relative - more - foregone - settings - schemes - reduced,1.0,True,cmo/arms_trade_offsets_chapters.yml,02-using-procurement-offsets-as-an-economic-development-strategy.pdf,02_using_procurement_offsets_as_an_economic_development_strategy_pdf__cmo_006,Welfare falls relative to using market exchange (and price discounts when government has bargaining power).
Domestic firms build capabilities and improve access to third markets via reputational economies.,38,38_swiss_german_firms_access,"['swiss', 'german', 'firms', 'access', 'entry', 'win', 'enterprises', 'cooperate', 'outsider', 'economies']","['Swiss enterprises gain improved market access.', 'Domestic firms build capabilities and improve access to third markets via reputational economies.', 'Foreign firms must cooperate with German partners to win contracts, sustaining German industrial participation and limiting outsider entry.']",swiss - german - firms - access - entry - win - enterprises - cooperate - outsider - economies,1.0,True,cmo/arms_trade_offsets_chapters.yml,02-using-procurement-offsets-as-an-economic-development-strategy.pdf,02_using_procurement_offsets_as_an_economic_development_strategy_pdf__cmo_007,Domestic firms build capabilities and improve access to third markets via reputational economies.
Collaboration and reputational gains occur with lower administrative burden than formal offset requirements.,0,0_procurement_offset_costs_influence,"['procurement', 'offset', 'costs', 'influence', 'are', 'packages', 'proposals', 'procurements', 'quantities', 'bundling']","['Mandatory bundling can prevent optimal outcomes and increase total costs relative to precise, negotiated bundling (or separate sourcing).', 'Best-endeavors and mandatory offsets are characterized as inefficient and poorly targeted, and the chapter argues capability requirements are better negotiated directly within procurement contracts.', 'Offsets influence supplier selection (and at most marginal quantities) rather than fundamentally driving procurement need or type.']",procurement - offset - costs - influence - are - packages - proposals - procurements - quantities - bundling,0.8909437431346163,False,cmo/arms_trade_offsets_chapters.yml,02-using-procurement-offsets-as-an-economic-development-strategy.pdf,02_using_procurement_offsets_as_an_economic_development_strategy_pdf__cmo_008,Collaboration and reputational gains occur with lower administrative burden than formal offset requirements.
"Domestic firms (e.g., software manufacturers) gain marketing/reputation support and benefit from participation without rigid offset mandates.",-1,-1_and_offsets_is_the,"['and', 'offsets', 'is', 'the', 'benefits', 'offset', 'on', 'of', 'technology', 'to']","['Foreign producers face more stringent offset demands and Korea gains leverage in negotiating industrial and technology benefits.', 'A substantial share of promised benefits is routed through indirect offsets and inward investment rather than direct defence-related participation.', 'Technology transfers are limited and Taiwan remains dependent on foreign technology and imports.']",and - offsets - is - the - benefits - offset - on - of - technology - to,0.0,False,cmo/arms_trade_offsets_chapters.yml,02-using-procurement-offsets-as-an-economic-development-strategy.pdf,02_using_procurement_offsets_as_an_economic_development_strategy_pdf__cmo_009,"Domestic firms (e.g., software manufacturers) gain marketing/reputation support and benefit from participation without rigid offset mandates."
"Better-tailored procurement deals reduce the likelihood of accepting inefficient offset proposals, but the approach demands high bureaucratic capability.",0,0_procurement_offset_costs_influence,"['procurement', 'offset', 'costs', 'influence', 'are', 'packages', 'proposals', 'procurements', 'quantities', 'bundling']","['Mandatory bundling can prevent optimal outcomes and increase total costs relative to precise, negotiated bundling (or separate sourcing).', 'Best-endeavors and mandatory offsets are characterized as inefficient and poorly targeted, and the chapter argues capability requirements are better negotiated directly within procurement contracts.', 'Offsets influence supplier selection (and at most marginal quantities) rather than fundamentally driving procurement need or type.']",procurement - offset - costs - influence - are - packages - proposals - procurements - quantities - bundling,1.0,False,cmo/arms_trade_offsets_chapters.yml,02-using-procurement-offsets-as-an-economic-development-strategy.pdf,02_using_procurement_offsets_as_an_economic_development_strategy_pdf__cmo_010,"Better-tailored procurement deals reduce the likelihood of accepting inefficient offset proposals, but the approach demands high bureaucratic capability."
"Variable schemes can be more corruption/rent-seeking-prone, while well-designed mandatory schemes reduce some rent-seeking pressures.",2,2_welfare_price_discounts_bargaining,"['welfare', 'price', 'discounts', 'bargaining', 'relative', 'more', 'foregone', 'settings', 'schemes', 'reduced']","['Buyers face reduced scope for price discounts.', 'Welfare falls relative to using market exchange (and price discounts when government has bargaining power).', 'Welfare is reduced because foregone price discounts exceed the benefits of offsets in these settings.']",welfare - price - discounts - bargaining - relative - more - foregone - settings - schemes - reduced,1.0,False,cmo/arms_trade_offsets_chapters.yml,02-using-procurement-offsets-as-an-economic-development-strategy.pdf,02_using_procurement_offsets_as_an_economic_development_strategy_pdf__cmo_011,"Variable schemes can be more corruption/rent-seeking-prone, while well-designed mandatory schemes reduce some rent-seeking pressures."
Welfare is reduced because foregone price discounts exceed the benefits of offsets in these settings.,2,2_welfare_price_discounts_bargaining,"['welfare', 'price', 'discounts', 'bargaining', 'relative', 'more', 'foregone', 'settings', 'schemes', 'reduced']","['Buyers face reduced scope for price discounts.', 'Welfare falls relative to using market exchange (and price discounts when government has bargaining power).', 'Welfare is reduced because foregone price discounts exceed the benefits of offsets in these settings.']",welfare - price - discounts - bargaining - relative - more - foregone - settings - schemes - reduced,0.7316502934543458,True,cmo/arms_trade_offsets_chapters.yml,02-using-procurement-offsets-as-an-economic-development-strategy.pdf,02_using_procurement_offsets_as_an_economic_development_strategy_pdf__cmo_012,Welfare is reduced because foregone price discounts exceed the benefits of offsets in these settings.
Mandatory schemes can fail to deliver intended technology transfer and instead increase costs and administrative burden.,28,28_transfer_technology_fail_deliver,"['transfer', 'technology', 'fail', 'deliver', 'largemarket', 'deepen', 'fails', 'unclear', 'involving', 'desired']","['Responsibility for technology transfer is unclear, weakening TAC outcomes.', 'Buyback arrangements associated with technology transfer fail to deliver desired results.', 'Mandatory schemes can fail to deliver intended technology transfer and instead increase costs and administrative burden.']",transfer - technology - fail - deliver - largemarket - deepen - fails - unclear - involving - desired,0.8708823300903805,True,cmo/arms_trade_offsets_chapters.yml,02-using-procurement-offsets-as-an-economic-development-strategy.pdf,02_using_procurement_offsets_as_an_economic_development_strategy_pdf__cmo_013,Mandatory schemes can fail to deliver intended technology transfer and instead increase costs and administrative burden.
"Choosing direct vs indirect offsets changes whether the policy primarily improves exchange integrity or supports broader capability/market outcomes, with differing cost risks.",-1,-1_and_offsets_is_the,"['and', 'offsets', 'is', 'the', 'benefits', 'offset', 'on', 'of', 'technology', 'to']","['Foreign producers face more stringent offset demands and Korea gains leverage in negotiating industrial and technology benefits.', 'A substantial share of promised benefits is routed through indirect offsets and inward investment rather than direct defence-related participation.', 'Technology transfers are limited and Taiwan remains dependent on foreign technology and imports.']",and - offsets - is - the - benefits - offset - on - of - technology - to,0.0,False,cmo/arms_trade_offsets_chapters.yml,02-using-procurement-offsets-as-an-economic-development-strategy.pdf,02_using_procurement_offsets_as_an_economic_development_strategy_pdf__cmo_014,"Choosing direct vs indirect offsets changes whether the policy primarily improves exchange integrity or supports broader capability/market outcomes, with differing cost risks."
