chunk_id,file_id,mechanism_statement,umap_0,umap_1,umap_2,umap_3,umap_4,umap_5,umap_6,umap_7,umap_8,umap_9
01_do_offsets_mitigate_or_magnify_the_military_burden_pdf__cmo_015,01-do-offsets-mitigate-or-magnify-the-military-burden.pdf,"If offset projects simply hire already skilled workers from the limited local pool, they preempt labor needed by domestic civilian producers.",4.6312523,-0.7831587,4.2979393,2.660756,7.566074,4.3954344,-1.6767056,0.16364628,2.1570807,1.8907849
01_do_offsets_mitigate_or_magnify_the_military_burden_pdf__cmo_016,01-do-offsets-mitigate-or-magnify-the-military-burden.pdf,Requiring employer-financed training that raises lower-skilled workers to the needed level expands the local skill pool rather than draining it.,4.5661564,-0.64723414,4.3825684,3.438775,7.261796,4.5618434,-1.5557556,0.19155143,2.3759108,1.9192196
01_do_offsets_mitigate_or_magnify_the_military_burden_pdf__cmo_017,01-do-offsets-mitigate-or-magnify-the-military-burden.pdf,"Because military technologies often require costly reshaping for civilian uses, pursuing civilian technology directly is generally more cost-effective.",5.09027,-0.7263029,4.576697,2.8038762,7.427157,4.3247705,-0.012990115,1.0060871,2.8693905,2.6336768
01_do_offsets_mitigate_or_magnify_the_military_burden_pdf__cmo_018,01-do-offsets-mitigate-or-magnify-the-military-burden.pdf,"When transferred technologies are incompatible with the receiving environment, they fail to function effectively or to integrate into productive systems.",4.336066,-1.0238962,5.024586,3.7770817,7.5135975,4.301529,-1.0683635,0.6565452,2.5372539,1.6643103
01_do_offsets_mitigate_or_magnify_the_military_burden_pdf__cmo_019,01-do-offsets-mitigate-or-magnify-the-military-burden.pdf,Selecting appropriate technologies and implementing transfer carefully increases the likelihood that transferred technologies are usable and development-relevant.,4.458191,-0.87497103,5.0184817,3.4861746,7.4842706,4.468845,-1.0165823,0.6433608,2.4667222,1.6084728
01_do_offsets_mitigate_or_magnify_the_military_burden_pdf__cmo_020,01-do-offsets-mitigate-or-magnify-the-military-burden.pdf,Offsets function as a differentiator between suppliers when core capability requirements are fixed.,4.6995606,-1.6461542,4.3283124,1.8760637,8.167627,3.5864258,-2.1789315,0.057914402,2.2453995,1.7746335
01_do_offsets_mitigate_or_magnify_the_military_burden_pdf__cmo_021,01-do-offsets-mitigate-or-magnify-the-military-burden.pdf,"Promised offset benefits provide an argument that reframes the purchase as economically beneficial, reducing resistance.",5.334901,-1.9594175,3.882117,1.4629352,7.890158,3.3813806,-1.7993113,-0.034878448,2.2760246,1.638196
01_do_offsets_mitigate_or_magnify_the_military_burden_pdf__cmo_022,01-do-offsets-mitigate-or-magnify-the-military-burden.pdf,Domestic arms-industry influence pushes governments to demand direct offsets that subsidize local military industry as part of foreign procurement.,4.8611183,-0.4107797,4.0812883,3.1149383,7.3617325,4.1555724,-0.018155053,0.65282184,2.753245,2.7971444
01_do_offsets_mitigate_or_magnify_the_military_burden_pdf__cmo_023,01-do-offsets-mitigate-or-magnify-the-military-burden.pdf,"Requiring development-oriented indirect offsets (capital inflows, appropriate technology transfer, transferable skills, and/or new markets) and emphasizing transparency increases the chance of realization and development relevance.",4.8508754,-1.095874,5.0159307,2.8759618,7.5933776,4.3454423,-1.2887214,0.67187667,2.5762591,1.6391796
02_using_procurement_offsets_as_an_economic_development_strategy_pdf__cmo_001,02-using-procurement-offsets-as-an-economic-development-strategy.pdf,"By requiring benefits packages alongside the base good, offsets redirect competition away from price/quality toward bundled content that may be unrelated to the procured item.",4.9207134,-1.8238516,4.0454545,1.466664,8.125271,3.430302,-2.1910868,-0.11230788,2.1105332,1.725006
02_using_procurement_offsets_as_an_economic_development_strategy_pdf__cmo_002,02-using-procurement-offsets-as-an-economic-development-strategy.pdf,"Offset policy extracts rent off the price margin by requiring sellers to transfer economic activity into the domestic economy, allowing governments to pursue multiple objectives through procurement.",4.758655,-1.3174672,3.9492588,1.6139982,8.249478,3.699205,-1.6857387,0.26755586,2.4335268,1.4321653
02_using_procurement_offsets_as_an_economic_development_strategy_pdf__cmo_003,02-using-procurement-offsets-as-an-economic-development-strategy.pdf,"Because expected benefits are more salient than expected costs, officials adopt offsets even when net welfare effects are ambiguous.",5.7945876,-2.0496674,3.604706,1.2003554,7.751638,3.2008786,-1.5249454,-0.01031409,2.5250962,1.4590276
02_using_procurement_offsets_as_an_economic_development_strategy_pdf__cmo_004,02-using-procurement-offsets-as-an-economic-development-strategy.pdf,A one-size-fits-all mandate constrains negotiation dimensions and creates diseconomies of scale and scope by forcing offsets where market exchange would be superior.,4.898868,-1.3933865,3.1085916,1.5173872,8.616607,2.9442067,-2.1216483,-0.24494241,2.6106374,2.147102
02_using_procurement_offsets_as_an_economic_development_strategy_pdf__cmo_005,02-using-procurement-offsets-as-an-economic-development-strategy.pdf,"Offsets are advisable only when exchange hazard is high and expected recipient benefits are high, because offsets can substitute for poorly functioning markets and unlock reputational/capability gains.",4.544744,-1.5742294,4.065218,1.4711486,8.335033,3.545608,-1.9305339,0.109156825,2.1602566,1.4409628
02_using_procurement_offsets_as_an_economic_development_strategy_pdf__cmo_006,02-using-procurement-offsets-as-an-economic-development-strategy.pdf,"In this setting, offsets add administrative burden and rent-seeking costs without improving technology transfer or exchange integrity.",4.7787905,-1.3367653,4.2225986,1.7266853,8.176232,3.8316712,-1.6889019,0.39501637,2.5064383,1.2863259
02_using_procurement_offsets_as_an_economic_development_strategy_pdf__cmo_007,02-using-procurement-offsets-as-an-economic-development-strategy.pdf,"To minimize its own costs and ensure quality, the seller has incentives to teach efficient routines; successful completion also provides a reputational “stamp of approval” that lowers the domestic firm’s market-entry transaction costs.",4.8886228,-1.3867831,3.1326876,2.8111115,7.7242966,2.6760738,-1.7931259,-0.6246781,2.7193317,1.9517576
02_using_procurement_offsets_as_an_economic_development_strategy_pdf__cmo_008,02-using-procurement-offsets-as-an-economic-development-strategy.pdf,"Government uses bargaining power to encourage alliances without mandating offsets (e.g., best-endeavors), preserving market competition while enabling collaboration.",4.921492,-0.012655418,3.4595213,3.495989,7.3020115,4.098529,-0.58243567,0.24989347,2.4427047,2.8190172
02_using_procurement_offsets_as_an_economic_development_strategy_pdf__cmo_009,02-using-procurement-offsets-as-an-economic-development-strategy.pdf,"By waiving offset requirements for foreign firms that enter strategic alliances, the program increases long-term investment and channels reputational capital to domestic firms while maintaining competitive selection.",4.8323145,-0.7065213,3.7154098,2.257212,7.7543716,3.9286869,-0.7875682,0.32147008,2.340891,1.718226
02_using_procurement_offsets_as_an_economic_development_strategy_pdf__cmo_010,02-using-procurement-offsets-as-an-economic-development-strategy.pdf,"A variable offset policy increases negotiation flexibility and the opportunity set, allowing comparison of price-margin exchange versus offsets and reducing diseconomies of scope.",4.89387,-1.4595453,3.2895026,1.3603387,8.551185,3.102485,-2.0860832,-0.13052487,2.544843,1.95658
02_using_procurement_offsets_as_an_economic_development_strategy_pdf__cmo_011,02-using-procurement-offsets-as-an-economic-development-strategy.pdf,"Variable offset policies increase discretion between price and content, attracting internal and external rent-seeking; strict mandatory triggers constrain discretion and can reduce rent-seeking.",4.9583235,-1.3907235,3.8324258,1.4096411,8.246428,3.6501472,-1.8238585,0.23856215,2.5332825,1.483984
02_using_procurement_offsets_as_an_economic_development_strategy_pdf__cmo_012,02-using-procurement-offsets-as-an-economic-development-strategy.pdf,"Imposing offsets in low-hazard categories forces content-based contracting where price-margin savings would be superior, creating opportunity costs.",4.7241893,-1.62262,3.3282907,1.582383,8.287844,2.9954493,-2.3627346,-0.34766734,2.5202653,1.7367733
02_using_procurement_offsets_as_an_economic_development_strategy_pdf__cmo_013,02-using-procurement-offsets-as-an-economic-development-strategy.pdf,"Broad mandates generate proposal overload and encourage superficial evaluation criteria (e.g., workload and jobs) rather than technology-transfer quality, while atomistic sellers add offset burdens that raise prices with little reputational effect.",4.9104304,-1.4175091,3.2297058,2.564805,7.879013,3.2179701,-1.6934081,-0.20743348,2.599916,1.9708123
02_using_procurement_offsets_as_an_economic_development_strategy_pdf__cmo_014,02-using-procurement-offsets-as-an-economic-development-strategy.pdf,"Direct offsets better safeguard hazardous exchanges by tying performance to the procured system, while indirect offsets are more applicable for wider development objectives but can raise costs if outside seller capabilities.",4.769341,-1.6543994,4.1733522,1.4813278,8.1146345,3.6669884,-1.9953922,0.11240084,2.1337602,1.636552
03_mandatory_defense_offsets_conceptual_foundations_pdf__cmo_001,03-mandatory-defense-offsets-conceptual-foundations.pdf,"By mandating reciprocal activity (countertrade, local content, or bundled enhancements) as a condition of market access, the importing state imposes trade-restricting requirements on exporters.",3.5912263,-0.8176635,3.9795568,3.2951484,8.312153,3.090873,-1.4472458,-0.35318595,2.0898535,1.5824554
03_mandatory_defense_offsets_conceptual_foundations_pdf__cmo_002,03-mandatory-defense-offsets-conceptual-foundations.pdf,Mixed objectives and unclear incidence of benefits make it difficult to specify evaluation criteria and to identify who gains net benefits from mandated offsets.,5.909924,-2.0201252,3.575962,1.2012461,7.708773,3.1319058,-1.5441717,-0.022836244,2.6403987,1.5328112
03_mandatory_defense_offsets_conceptual_foundations_pdf__cmo_003,03-mandatory-defense-offsets-conceptual-foundations.pdf,"By requiring reciprocal purchases to be additional (“new activity”), the offset policy aims to create exports that would not otherwise occur.",3.659989,-1.1535028,4.204754,3.2217252,8.322265,3.0641744,-1.4828507,-0.25990653,2.2472792,1.3059931
03_mandatory_defense_offsets_conceptual_foundations_pdf__cmo_004,03-mandatory-defense-offsets-conceptual-foundations.pdf,"Because there is no unique benchmark price, suppliers can embed offset-related costs into the offered weapons price without the buyer being able to verify price padding.",4.281167,-1.739072,3.7319434,1.6325465,8.541302,3.1247795,-2.1355507,-0.098880745,2.2358875,1.318912
03_mandatory_defense_offsets_conceptual_foundations_pdf__cmo_005,03-mandatory-defense-offsets-conceptual-foundations.pdf,"Suppliers accept offset obligations only when the overall package yields satisfactory returns, adjusting the weapons price upward if needed or walking away otherwise.",4.380053,-1.6925467,3.9946408,1.6784908,8.529976,3.2347221,-2.1423113,-0.040597484,2.2189012,1.4796269
03_mandatory_defense_offsets_conceptual_foundations_pdf__cmo_006,03-mandatory-defense-offsets-conceptual-foundations.pdf,"Suppliers may accept obligations but later default, and although buyers can attempt incentive contracts, enforcement is difficult in practice.",4.4689255,-1.4417357,3.5804775,2.4575903,8.132268,2.8980296,-2.3660355,-0.51681125,2.5518217,2.0089934
03_mandatory_defense_offsets_conceptual_foundations_pdf__cmo_007,03-mandatory-defense-offsets-conceptual-foundations.pdf,"Bureaucratically mandated, fixed-percentage offset schemes reduce negotiation flexibility by forcing in-kind enhancements instead of allowing negotiators to choose the most advantageous mix of price and content.",4.8937316,-1.3741106,3.2205608,1.4192317,8.527947,3.1725774,-2.0196965,-0.12830248,2.4979944,2.0805197
03_mandatory_defense_offsets_conceptual_foundations_pdf__cmo_008,03-mandatory-defense-offsets-conceptual-foundations.pdf,"High local content targets force inclusion of uncompetitive domestic subcontractors, generating price premiums that are factored into bid prices or motivate reneging when premiums are constrained.",4.8861337,-1.6387672,3.9620478,1.6674687,7.8118634,3.6002102,-2.5137477,-0.22441037,2.2699797,1.8425015
03_mandatory_defense_offsets_conceptual_foundations_pdf__cmo_009,03-mandatory-defense-offsets-conceptual-foundations.pdf,"Local content requirements force primes to search and engage domestic suppliers, addressing an information imperfection about local capability.",4.7740574,-0.022293625,3.4052196,4.2604322,7.0192056,3.8391778,-1.2766842,-0.42697057,2.6194868,2.4149325
03_mandatory_defense_offsets_conceptual_foundations_pdf__cmo_010,03-mandatory-defense-offsets-conceptual-foundations.pdf,"Once the mandated transaction ends, primes discontinue domestic sourcing unless continued work in the host economy makes local supply chain relocation worthwhile.",4.654634,0.07326276,3.4949996,4.3800545,7.192992,3.753565,-1.1935092,-0.44761467,2.5013545,2.1230216
03_mandatory_defense_offsets_conceptual_foundations_pdf__cmo_011,03-mandatory-defense-offsets-conceptual-foundations.pdf,"When the buyer lacks market power to force cross-subsidization, the vendor prices expected offset demands into the primary product’s offer price.",4.2663407,-1.7341197,3.352563,1.7598141,8.410991,2.962742,-2.0100398,-0.202817,2.3616858,1.1830525
03_mandatory_defense_offsets_conceptual_foundations_pdf__cmo_012,03-mandatory-defense-offsets-conceptual-foundations.pdf,Untargeted bundle targets ignore complementarities and may force inefficient bundling choices compared to separately sourcing requirements from specialized vendors.,4.766463,-1.7490745,4.013384,1.5677006,8.207925,3.3876994,-2.3645442,-0.16494717,2.1579475,1.7845494
03_mandatory_defense_offsets_conceptual_foundations_pdf__cmo_013,03-mandatory-defense-offsets-conceptual-foundations.pdf,"Suppliers can promise offsets to win contracts and later renege or deliver less value, because timing and enforcement frictions weaken purchaser leverage.",4.4689174,-1.3304745,3.265952,2.3237896,8.283888,2.9855685,-1.9190995,-0.32354957,2.5069551,1.9644128
04_economic_aspects_of_arms_trade_offsets_pdf__cmo_001,04-economic-aspects-of-arms-trade-offsets.pdf,"By requiring the exporter to purchase goods from the importing country as an indirect offset, the deal functions like a sector-specific price adjustment that stimulates exports in the chosen sector.",3.7614796,-0.9334595,3.7984405,3.1678226,8.233586,3.0200639,-1.4135997,-0.38070598,2.248033,1.6186005
04_economic_aspects_of_arms_trade_offsets_pdf__cmo_002,04-economic-aspects-of-arms-trade-offsets.pdf,"Non-monetary offset trade substitutes in-kind exchanges for cash payment, bypassing credit-market constraints.",4.0577435,-1.3497248,3.9158819,2.2834873,8.503648,3.1247206,-1.6546685,-0.15065418,2.2334907,1.5868729
04_economic_aspects_of_arms_trade_offsets_pdf__cmo_003,04-economic-aspects-of-arms-trade-offsets.pdf,Lower visibility enables difficult-to-detect price discrimination and dumping of product in world markets.,4.7102237,-2.0514631,3.2161396,2.0496418,8.069247,2.8534298,-1.955577,-0.30921543,2.5182405,1.2367054
04_economic_aspects_of_arms_trade_offsets_pdf__cmo_004,04-economic-aspects-of-arms-trade-offsets.pdf,"Buyback requirements hold the seller “hostage” by making it responsible for buying back output, aligning incentives so the seller avoids transferring outdated technology that would undermine buyback viability.",3.9905546,-1.3354782,4.3775797,3.6945143,7.926749,3.3763175,-1.4289864,-0.022422262,2.5970135,1.3380893
04_economic_aspects_of_arms_trade_offsets_pdf__cmo_005,04-economic-aspects-of-arms-trade-offsets.pdf,Depreciation creates an incentive for arms sellers to license technology via offsets to monetize it while it is still valuable.,4.518863,-1.443166,4.8006673,2.5046053,7.850194,4.084793,-1.4356086,0.46192208,2.3877587,1.411943
04_economic_aspects_of_arms_trade_offsets_pdf__cmo_006,04-economic-aspects-of-arms-trade-offsets.pdf,"Large exporting firms with established networks can market buyer-country products more cheaply than the buyer can, reducing market penetration costs.",3.8845773,-0.76282233,3.8752487,4.1042256,7.755377,3.3514895,-1.0870106,-0.23578496,2.53589,1.6096957
04_economic_aspects_of_arms_trade_offsets_pdf__cmo_007,04-economic-aspects-of-arms-trade-offsets.pdf,Offsets can function as part of complex bundled contracting that reduces transaction costs and reallocates rents under these imperfections.,4.71957,-1.1767063,3.820005,1.6999344,8.192965,3.6924195,-1.8585633,0.08128319,2.2572615,1.7415439
04_economic_aspects_of_arms_trade_offsets_pdf__cmo_008,04-economic-aspects-of-arms-trade-offsets.pdf,Using offsets as a second-best substitute for appropriate macro/trade reforms distorts resource allocation and embeds inefficient sector-specific fixes in procurement.,4.849915,-1.0494118,4.21028,1.8234341,8.06383,4.0668426,-1.6746812,0.39104944,2.3526254,1.8689257
04_economic_aspects_of_arms_trade_offsets_pdf__cmo_009,04-economic-aspects-of-arms-trade-offsets.pdf,Competitive pressure among sellers makes offsets a feature of bidding; firms include offsets when doing so increases expected profits by preventing loss of sales to rivals.,4.6473227,-1.727346,3.54132,1.5682671,8.18618,3.0925417,-1.8662052,-0.109836,2.405099,1.2255509
04_economic_aspects_of_arms_trade_offsets_pdf__cmo_010,04-economic-aspects-of-arms-trade-offsets.pdf,Anticipated loss of labor-market rents and employment prompts unions to oppose offsets and to seek regulation that limits competitive arms exports involving production shifting.,3.6683834,-1.2454423,4.392011,3.36616,8.263322,3.1520016,-1.4854841,-0.18595333,2.3074903,1.1915966
04_economic_aspects_of_arms_trade_offsets_pdf__cmo_011,04-economic-aspects-of-arms-trade-offsets.pdf,"Offset-induced competition reallocates profits between domestic firms and buyers, creating distributive conflict even when aggregate national net effects are small.",5.032618,-1.5714389,3.6026518,1.6649247,7.8952265,3.2572412,-1.3044559,0.05664036,2.4905994,1.3162414
04_economic_aspects_of_arms_trade_offsets_pdf__cmo_012,04-economic-aspects-of-arms-trade-offsets.pdf,"When exports are subsidized, taxpayers finance part of the export production, offsetting (or reversing) any unit-cost savings from scale.",3.768057,-0.9200156,3.7698627,3.3021185,8.154312,2.9982216,-1.3692365,-0.45837852,2.3132606,1.6404597
04_economic_aspects_of_arms_trade_offsets_pdf__cmo_013,04-economic-aspects-of-arms-trade-offsets.pdf,Allocating taxpayer resources to offset-related military industry imposes opportunity costs by diverting funds from civilian social sectors with potentially higher social returns.,5.062365,-0.5191503,4.2198124,2.9255805,7.2926545,4.1000757,0.18145882,0.74388385,2.9156296,2.8808348
04_economic_aspects_of_arms_trade_offsets_pdf__cmo_014,04-economic-aspects-of-arms-trade-offsets.pdf,"By encouraging bilateralism and reallocating investment/purchases across countries, mandatory offsets impose externalities on third parties and conflict with free-trade norms.",3.8503692,-0.8692627,3.828462,3.0494518,8.223423,3.1709232,-1.4092746,-0.29004204,2.1648402,1.7264656
04_economic_aspects_of_arms_trade_offsets_pdf__cmo_015,04-economic-aspects-of-arms-trade-offsets.pdf,"Technology transfer and training offsets do not create this capital in a self-sustaining way, and exporters continue to advance technologically, leaving recipients behind.",4.2121606,-1.0974866,4.9288025,3.7334113,7.638996,4.058431,-0.97379494,0.58544743,2.5823479,1.621362
04_economic_aspects_of_arms_trade_offsets_pdf__cmo_016,04-economic-aspects-of-arms-trade-offsets.pdf,"When exports are shipped for the exporter to sell as part of an offset, the importing country foregoes the foreign exchange it would have earned from selling those exports itself, leaving the net foreign-exchange position unchanged.",3.630118,-1.0646229,4.1269174,3.2956593,8.2964325,3.0490046,-1.4577659,-0.31789592,2.2152796,1.2945436
04_economic_aspects_of_arms_trade_offsets_pdf__cmo_017,04-economic-aspects-of-arms-trade-offsets.pdf,"Because world demand is not increased by offset obligations, purchases are diverted from other suppliers/countries, and military spending can reduce overall demand.",4.4400277,-0.53598815,3.9438598,3.0641143,7.7195573,3.7077284,-0.23720168,0.31859094,2.612268,2.2971199
04_economic_aspects_of_arms_trade_offsets_pdf__cmo_018,04-economic-aspects-of-arms-trade-offsets.pdf,"Even with buyback, exporters can profit from outdated technology combined with low-cost labor; after the offset agreement ends, recipients without sustained capability momentum fall behind again.",3.8269231,-1.3223528,4.529681,3.387209,8.146017,3.3024857,-1.4375082,-0.040291283,2.39558,1.2245576
04_economic_aspects_of_arms_trade_offsets_pdf__cmo_019,04-economic-aspects-of-arms-trade-offsets.pdf,"If the exporter would have pursued the same partnerships through normal due diligence regardless of offset credit, then the offset does not cause the business relationship; it only changes accounting labels.",3.7747803,-1.289964,4.295304,3.1603236,8.278331,2.9976213,-1.6966544,-0.3171174,2.3276117,1.2288135
05_arms_trade_as_illiberal_trade_pdf__cmo_001,05-arms-trade-as-illiberal-trade.pdf,"Exemption from liberal trade rules allows states to restrict transfers and to condition sales on reciprocal arrangements, producing illiberal contracting practices.",3.9606245,-0.55282617,3.5369232,3.1173522,8.063362,3.2461393,-1.5040389,-0.40865043,2.1251426,2.1297774
05_arms_trade_as_illiberal_trade_pdf__cmo_002,05-arms-trade-as-illiberal-trade.pdf,"Illiberal contracting latitude (refusals, buy_domestic, and offsets) creates state-to-state and firm-to-state ties that extend beyond normal price/quality competition.",4.0527587,-0.52878565,3.500573,3.0010214,8.02955,3.3577752,-1.4939249,-0.33985835,2.1121795,2.2039888
05_arms_trade_as_illiberal_trade_pdf__cmo_003,05-arms-trade-as-illiberal-trade.pdf,"Greater buyer leverage increases demands for offsets (components, technology transfer, marketing/investment), intensifying cross-national linkages in procurement.",4.4730425,-1.0433521,3.2408187,2.6889691,8.004393,3.3735874,-1.4930443,-0.117548384,2.4928458,1.9683914
05_arms_trade_as_illiberal_trade_pdf__cmo_004,05-arms-trade-as-illiberal-trade.pdf,"Offsets create “diagonalized” exchanges by requiring primes to subcontract, market unrelated goods, and transfer technology across borders and sectors.",4.4783187,-1.2763408,4.0549626,1.6793326,8.295579,3.6965396,-1.6856667,0.17627698,2.1513462,1.5127469
05_arms_trade_as_illiberal_trade_pdf__cmo_005,05-arms-trade-as-illiberal-trade.pdf,"When exports (and offsets) help increase the buyer pool, services shift from proliferation restraint toward making sales work for customers, adopting a more permissive stance on offsets.",3.635268,-1.0946963,4.2599673,3.4204562,8.219709,3.1607766,-1.4363042,-0.23653251,2.2895014,1.242128
05_arms_trade_as_illiberal_trade_pdf__cmo_006,05-arms-trade-as-illiberal-trade.pdf,"Firms build in-house offset organizations that operate like trading companies (marketing offset products, arranging subcontracting, technology search/transfer, credit sourcing, and offset-credit trading).",4.317079,-0.93207014,4.4896183,2.5012856,7.99253,4.048169,-1.5140916,0.23534165,2.1194084,1.4541373
05_arms_trade_as_illiberal_trade_pdf__cmo_007,05-arms-trade-as-illiberal-trade.pdf,"Managing offset obligations imposes transaction costs that consume resources (personnel, legal/monitoring, travel/communications), estimated as a share of sale value.",4.604268,-1.4214455,3.778169,1.6182168,8.333847,3.4634686,-1.8410585,0.15286851,2.4654825,1.2495936
05_arms_trade_as_illiberal_trade_pdf__cmo_008,05-arms-trade-as-illiberal-trade.pdf,Long fulfillment horizons and crediting practices allow firms to receive offset credit exceeding transactional fulfillment value.,5.1621714,-1.6839976,3.903607,2.0312784,7.928677,2.5302055,-2.223027,-0.54481834,2.7736542,1.7210176
05_arms_trade_as_illiberal_trade_pdf__cmo_009,05-arms-trade-as-illiberal-trade.pdf,"As more countries adopt offsets and escalate requirements (toward 100%+), firms adapt by expanding offset operations and negotiating longer, more complex contracts.",4.8580747,-0.9993874,3.7290165,1.9592047,8.006879,3.7842216,-1.6114528,0.13783307,2.3640337,2.0229688
05_arms_trade_as_illiberal_trade_pdf__cmo_010,05-arms-trade-as-illiberal-trade.pdf,"Buyer ability to extract economic activity and know-how via offsets increases willingness to import superior foreign systems, reinforcing exporter dominance while forcing work-sharing back to buyer countries.",3.6722085,-0.81044453,4.001894,3.4662097,8.173285,3.1928563,-1.2837846,-0.2654298,2.1934228,1.5224129
05_arms_trade_as_illiberal_trade_pdf__cmo_011,05-arms-trade-as-illiberal-trade.pdf,"By shifting component production overseas, primes export parts of their own capability and create enduring supplier relationships for buyer firms.",4.53238,0.14319964,3.6206574,4.3809958,7.234849,3.8738737,-1.0648913,-0.34320253,2.4004884,2.1045184
