"pair_id","theme_a_id","theme_a_label","theme_a_explanation","theme_b_id","theme_b_label","theme_b_explanation"
"P039","PM2","Compliance shaped by incentives and monitoring","Delivery depends on the enforcement regime: transparency and credible incentives/penalties encourage compliance, while weak oversight and accounting games reduce real fulfilment.","PM11","Domestic industry influence on offsets","Domestic arms-industry influence shapes procurement demands, pushing governments to require direct offsets that effectively subsidize local military industry."
"P040","PM2","Compliance shaped by incentives and monitoring","Delivery depends on the enforcement regime: transparency and credible incentives/penalties encourage compliance, while weak oversight and accounting games reduce real fulfilment.","PM12","Development-oriented indirect offset design","Specifying development-oriented indirect offsets and emphasizing transparency increases the likelihood that promised activities are realized and development-relevant."
"P041","PM2","Compliance shaped by incentives and monitoring","Delivery depends on the enforcement regime: transparency and credible incentives/penalties encourage compliance, while weak oversight and accounting games reduce real fulfilment.","PM13","Offsets shift competition to bundled content","Requiring offset packages redirects competition away from price/quality and toward bundled content, even when that content is unrelated to the procured item."
"P042","PM2","Compliance shaped by incentives and monitoring","Delivery depends on the enforcement regime: transparency and credible incentives/penalties encourage compliance, while weak oversight and accounting games reduce real fulfilment.","PM14","Rent extraction via offset requirements","Offset policy compels suppliers to transfer economic activity domestically, extracting rents from the price margin and enabling governments to pursue multiple objectives through procurement."
"P043","PM2","Compliance shaped by incentives and monitoring","Delivery depends on the enforcement regime: transparency and credible incentives/penalties encourage compliance, while weak oversight and accounting games reduce real fulfilment.","PM15","Flexibility reduces mandate diseconomies","Rigid, one-size mandates constrain negotiation and force offsets where market exchange would be superior, creating diseconomies of scale and scope; variable policies increase flexibility and reduce these losses."
"P044","PM2","Compliance shaped by incentives and monitoring","Delivery depends on the enforcement regime: transparency and credible incentives/penalties encourage compliance, while weak oversight and accounting games reduce real fulfilment.","PM16","Offsets justified in high-hazard exchanges","Offsets can substitute for poorly functioning markets in high-hazard exchanges and yield reputational or capability gains; imposing offsets in low-hazard contexts or misaligned with seller capabilities creates opportunity costs and raises costs."
"P045","PM2","Compliance shaped by incentives and monitoring","Delivery depends on the enforcement regime: transparency and credible incentives/penalties encourage compliance, while weak oversight and accounting games reduce real fulfilment.","PM17","Administrative burden and rent-seeking","Offset regimes can generate administrative burdens and rent-seeking, including proposal overload, superficial evaluation criteria, and discretionary behaviour that raises costs without improving transfer outcomes."
"P046","PM2","Compliance shaped by incentives and monitoring","Delivery depends on the enforcement regime: transparency and credible incentives/penalties encourage compliance, while weak oversight and accounting games reduce real fulfilment.","PM18","Objective ambiguity undermines evaluation","Mixed objectives and unclear incidence of benefits make it difficult to specify evaluation criteria and determine net beneficiaries of mandated offsets."
"P047","PM2","Compliance shaped by incentives and monitoring","Delivery depends on the enforcement regime: transparency and credible incentives/penalties encourage compliance, while weak oversight and accounting games reduce real fulfilment.","PM19","Supplier coaching and reputational certification","Suppliers teach efficient routines to control costs and quality, and successful completion provides reputational certification that lowers domestic firms’ market-entry transaction costs."
"P048","PM2","Compliance shaped by incentives and monitoring","Delivery depends on the enforcement regime: transparency and credible incentives/penalties encourage compliance, while weak oversight and accounting games reduce real fulfilment.","PM20","Alliance incentives via offset waivers","Governments use bargaining power or offset waivers to encourage alliances, boosting investment and reputational capital while preserving competitive selection."
"P049","PM2","Compliance shaped by incentives and monitoring","Delivery depends on the enforcement regime: transparency and credible incentives/penalties encourage compliance, while weak oversight and accounting games reduce real fulfilment.","PM21","Market access conditioned on reciprocity","Requiring reciprocal activity as a condition of market access imposes trade-restricting requirements on exporters."
"P050","PM2","Compliance shaped by incentives and monitoring","Delivery depends on the enforcement regime: transparency and credible incentives/penalties encourage compliance, while weak oversight and accounting games reduce real fulfilment.","PM22","Offsets reveal local supplier capability","Local content requirements compel primes to search for and engage domestic suppliers, reducing information imperfections about local capability."
"P051","PM2","Compliance shaped by incentives and monitoring","Delivery depends on the enforcement regime: transparency and credible incentives/penalties encourage compliance, while weak oversight and accounting games reduce real fulfilment.","PM23","Sourcing persists only when viable","Offset-induced sourcing ends when obligations expire unless continued local production is economically worthwhile, so effects may be temporary."
"P052","PM2","Compliance shaped by incentives and monitoring","Delivery depends on the enforcement regime: transparency and credible incentives/penalties encourage compliance, while weak oversight and accounting games reduce real fulfilment.","PM24","Indirect offsets stimulate targeted exports","Indirect offsets that require exporter purchases act like sector-specific price adjustments, stimulating exports in targeted sectors."
"P053","PM2","Compliance shaped by incentives and monitoring","Delivery depends on the enforcement regime: transparency and credible incentives/penalties encourage compliance, while weak oversight and accounting games reduce real fulfilment.","PM25","Opacity enables price discrimination","Lower visibility of offset-related pricing permits price discrimination or dumping in world markets that would be harder under transparent pricing."
"P054","PM2","Compliance shaped by incentives and monitoring","Delivery depends on the enforcement regime: transparency and credible incentives/penalties encourage compliance, while weak oversight and accounting games reduce real fulfilment.","PM26","Buyback hostage aligns incentives","Buyback obligations make sellers responsible for absorbing output, aligning incentives to avoid transferring obsolete technology that would undermine buyback viability."
"P055","PM2","Compliance shaped by incentives and monitoring","Delivery depends on the enforcement regime: transparency and credible incentives/penalties encourage compliance, while weak oversight and accounting games reduce real fulfilment.","PM27","Depreciation drives tech licensing","As technologies depreciate, sellers are incentivized to license them via offsets to monetise value before it declines further."
"P056","PM2","Compliance shaped by incentives and monitoring","Delivery depends on the enforcement regime: transparency and credible incentives/penalties encourage compliance, while weak oversight and accounting games reduce real fulfilment.","PM28","Exporter networks reduce market entry costs","Large exporters’ established distribution networks lower market-penetration costs for buyer-country products compared to what domestic firms could achieve alone."
"P057","PM2","Compliance shaped by incentives and monitoring","Delivery depends on the enforcement regime: transparency and credible incentives/penalties encourage compliance, while weak oversight and accounting games reduce real fulfilment.","PM29","Bundled contracting reduces transaction costs","Offsets can be embedded in complex bundles that lower transaction costs and reallocate rents under market imperfections."
"P058","PM2","Compliance shaped by incentives and monitoring","Delivery depends on the enforcement regime: transparency and credible incentives/penalties encourage compliance, while weak oversight and accounting games reduce real fulfilment.","PM30","Second-best offsets distort allocation","Using offsets as substitutes for broader macro or trade reforms distorts resource allocation and locks in inefficient sector-specific fixes."
"P059","PM2","Compliance shaped by incentives and monitoring","Delivery depends on the enforcement regime: transparency and credible incentives/penalties encourage compliance, while weak oversight and accounting games reduce real fulfilment.","PM31","Labour rents drive opposition to offsets","Anticipated losses of employment and labour-market rents motivate unions to oppose offsets and seek regulation that limits production shifting."
"P060","PM3","Cost pass-through via pricing","Suppliers internalise offset costs and recover them by raising the weapon sale price, shifting the burden to buyers.","PM4","Offsets crowd out civilian resources","Offset activity can absorb scarce capital, labour, or productive capacity, diverting resources away from civilian sectors that would otherwise drive development."
"P061","PM3","Cost pass-through via pricing","Suppliers internalise offset costs and recover them by raising the weapon sale price, shifting the burden to buyers.","PM5","External finance expands resource pool","When funding comes from external sources, offsets inject new resources rather than reallocating domestic capital, easing the net drain of purchases."
"P062","PM3","Cost pass-through via pricing","Suppliers internalise offset costs and recover them by raising the weapon sale price, shifting the burden to buyers.","PM6","Additional trade yields net gains","Counterpurchase that generates genuinely additional exports creates new revenue streams and supports employment."
"P063","PM3","Cost pass-through via pricing","Suppliers internalise offset costs and recover them by raising the weapon sale price, shifting the burden to buyers.","PM7","Training expands local skill supply","Mandated employer-funded training expands the local skill base, increasing labour supply instead of depleting it."
"P064","PM3","Cost pass-through via pricing","Suppliers internalise offset costs and recover them by raising the weapon sale price, shifting the burden to buyers.","PM8","Transferability and contextual fit","Spillovers hinge on transferability and fit: military-origin skills/technologies often mismatch civilian contexts, and careful selection and implementation reduce adaptation failures and costs."
"P065","PM3","Cost pass-through via pricing","Suppliers internalise offset costs and recover them by raising the weapon sale price, shifting the burden to buyers.","PM9","Barter eases constraints, reduces transparency","Barter arrangements relax financial constraints but reduce transparency, creating mutual advantage for supplier and buyer."
"P066","PM3","Cost pass-through via pricing","Suppliers internalise offset costs and recover them by raising the weapon sale price, shifting the burden to buyers.","PM10","Offsets as supplier differentiator","When core capability requirements are fixed, offset offers differentiate suppliers and influence selection."
"P067","PM3","Cost pass-through via pricing","Suppliers internalise offset costs and recover them by raising the weapon sale price, shifting the burden to buyers.","PM11","Domestic industry influence on offsets","Domestic arms-industry influence shapes procurement demands, pushing governments to require direct offsets that effectively subsidize local military industry."
"P068","PM3","Cost pass-through via pricing","Suppliers internalise offset costs and recover them by raising the weapon sale price, shifting the burden to buyers.","PM12","Development-oriented indirect offset design","Specifying development-oriented indirect offsets and emphasizing transparency increases the likelihood that promised activities are realized and development-relevant."
"P069","PM3","Cost pass-through via pricing","Suppliers internalise offset costs and recover them by raising the weapon sale price, shifting the burden to buyers.","PM13","Offsets shift competition to bundled content","Requiring offset packages redirects competition away from price/quality and toward bundled content, even when that content is unrelated to the procured item."
"P070","PM3","Cost pass-through via pricing","Suppliers internalise offset costs and recover them by raising the weapon sale price, shifting the burden to buyers.","PM14","Rent extraction via offset requirements","Offset policy compels suppliers to transfer economic activity domestically, extracting rents from the price margin and enabling governments to pursue multiple objectives through procurement."
"P071","PM3","Cost pass-through via pricing","Suppliers internalise offset costs and recover them by raising the weapon sale price, shifting the burden to buyers.","PM15","Flexibility reduces mandate diseconomies","Rigid, one-size mandates constrain negotiation and force offsets where market exchange would be superior, creating diseconomies of scale and scope; variable policies increase flexibility and reduce these losses."
"P072","PM3","Cost pass-through via pricing","Suppliers internalise offset costs and recover them by raising the weapon sale price, shifting the burden to buyers.","PM16","Offsets justified in high-hazard exchanges","Offsets can substitute for poorly functioning markets in high-hazard exchanges and yield reputational or capability gains; imposing offsets in low-hazard contexts or misaligned with seller capabilities creates opportunity costs and raises costs."
"P073","PM3","Cost pass-through via pricing","Suppliers internalise offset costs and recover them by raising the weapon sale price, shifting the burden to buyers.","PM17","Administrative burden and rent-seeking","Offset regimes can generate administrative burdens and rent-seeking, including proposal overload, superficial evaluation criteria, and discretionary behaviour that raises costs without improving transfer outcomes."
"P074","PM3","Cost pass-through via pricing","Suppliers internalise offset costs and recover them by raising the weapon sale price, shifting the burden to buyers.","PM18","Objective ambiguity undermines evaluation","Mixed objectives and unclear incidence of benefits make it difficult to specify evaluation criteria and determine net beneficiaries of mandated offsets."
"P075","PM3","Cost pass-through via pricing","Suppliers internalise offset costs and recover them by raising the weapon sale price, shifting the burden to buyers.","PM19","Supplier coaching and reputational certification","Suppliers teach efficient routines to control costs and quality, and successful completion provides reputational certification that lowers domestic firms’ market-entry transaction costs."
"P076","PM3","Cost pass-through via pricing","Suppliers internalise offset costs and recover them by raising the weapon sale price, shifting the burden to buyers.","PM20","Alliance incentives via offset waivers","Governments use bargaining power or offset waivers to encourage alliances, boosting investment and reputational capital while preserving competitive selection."
"P077","PM3","Cost pass-through via pricing","Suppliers internalise offset costs and recover them by raising the weapon sale price, shifting the burden to buyers.","PM21","Market access conditioned on reciprocity","Requiring reciprocal activity as a condition of market access imposes trade-restricting requirements on exporters."
"P078","PM3","Cost pass-through via pricing","Suppliers internalise offset costs and recover them by raising the weapon sale price, shifting the burden to buyers.","PM22","Offsets reveal local supplier capability","Local content requirements compel primes to search for and engage domestic suppliers, reducing information imperfections about local capability."
"P079","PM3","Cost pass-through via pricing","Suppliers internalise offset costs and recover them by raising the weapon sale price, shifting the burden to buyers.","PM23","Sourcing persists only when viable","Offset-induced sourcing ends when obligations expire unless continued local production is economically worthwhile, so effects may be temporary."
"P080","PM3","Cost pass-through via pricing","Suppliers internalise offset costs and recover them by raising the weapon sale price, shifting the burden to buyers.","PM24","Indirect offsets stimulate targeted exports","Indirect offsets that require exporter purchases act like sector-specific price adjustments, stimulating exports in targeted sectors."
"P081","PM3","Cost pass-through via pricing","Suppliers internalise offset costs and recover them by raising the weapon sale price, shifting the burden to buyers.","PM25","Opacity enables price discrimination","Lower visibility of offset-related pricing permits price discrimination or dumping in world markets that would be harder under transparent pricing."
"P082","PM3","Cost pass-through via pricing","Suppliers internalise offset costs and recover them by raising the weapon sale price, shifting the burden to buyers.","PM26","Buyback hostage aligns incentives","Buyback obligations make sellers responsible for absorbing output, aligning incentives to avoid transferring obsolete technology that would undermine buyback viability."
"P083","PM3","Cost pass-through via pricing","Suppliers internalise offset costs and recover them by raising the weapon sale price, shifting the burden to buyers.","PM27","Depreciation drives tech licensing","As technologies depreciate, sellers are incentivized to license them via offsets to monetise value before it declines further."
"P084","PM3","Cost pass-through via pricing","Suppliers internalise offset costs and recover them by raising the weapon sale price, shifting the burden to buyers.","PM28","Exporter networks reduce market entry costs","Large exporters’ established distribution networks lower market-penetration costs for buyer-country products compared to what domestic firms could achieve alone."
"P085","PM3","Cost pass-through via pricing","Suppliers internalise offset costs and recover them by raising the weapon sale price, shifting the burden to buyers.","PM29","Bundled contracting reduces transaction costs","Offsets can be embedded in complex bundles that lower transaction costs and reallocate rents under market imperfections."
"P086","PM3","Cost pass-through via pricing","Suppliers internalise offset costs and recover them by raising the weapon sale price, shifting the burden to buyers.","PM30","Second-best offsets distort allocation","Using offsets as substitutes for broader macro or trade reforms distorts resource allocation and locks in inefficient sector-specific fixes."
"P087","PM3","Cost pass-through via pricing","Suppliers internalise offset costs and recover them by raising the weapon sale price, shifting the burden to buyers.","PM31","Labour rents drive opposition to offsets","Anticipated losses of employment and labour-market rents motivate unions to oppose offsets and seek regulation that limits production shifting."
"P088","PM4","Offsets crowd out civilian resources","Offset activity can absorb scarce capital, labour, or productive capacity, diverting resources away from civilian sectors that would otherwise drive development.","PM5","External finance expands resource pool","When funding comes from external sources, offsets inject new resources rather than reallocating domestic capital, easing the net drain of purchases."
"P089","PM4","Offsets crowd out civilian resources","Offset activity can absorb scarce capital, labour, or productive capacity, diverting resources away from civilian sectors that would otherwise drive development.","PM6","Additional trade yields net gains","Counterpurchase that generates genuinely additional exports creates new revenue streams and supports employment."
"P090","PM4","Offsets crowd out civilian resources","Offset activity can absorb scarce capital, labour, or productive capacity, diverting resources away from civilian sectors that would otherwise drive development.","PM7","Training expands local skill supply","Mandated employer-funded training expands the local skill base, increasing labour supply instead of depleting it."
"P091","PM4","Offsets crowd out civilian resources","Offset activity can absorb scarce capital, labour, or productive capacity, diverting resources away from civilian sectors that would otherwise drive development.","PM8","Transferability and contextual fit","Spillovers hinge on transferability and fit: military-origin skills/technologies often mismatch civilian contexts, and careful selection and implementation reduce adaptation failures and costs."
"P092","PM4","Offsets crowd out civilian resources","Offset activity can absorb scarce capital, labour, or productive capacity, diverting resources away from civilian sectors that would otherwise drive development.","PM9","Barter eases constraints, reduces transparency","Barter arrangements relax financial constraints but reduce transparency, creating mutual advantage for supplier and buyer."
"P093","PM4","Offsets crowd out civilian resources","Offset activity can absorb scarce capital, labour, or productive capacity, diverting resources away from civilian sectors that would otherwise drive development.","PM10","Offsets as supplier differentiator","When core capability requirements are fixed, offset offers differentiate suppliers and influence selection."
"P094","PM4","Offsets crowd out civilian resources","Offset activity can absorb scarce capital, labour, or productive capacity, diverting resources away from civilian sectors that would otherwise drive development.","PM11","Domestic industry influence on offsets","Domestic arms-industry influence shapes procurement demands, pushing governments to require direct offsets that effectively subsidize local military industry."
"P095","PM4","Offsets crowd out civilian resources","Offset activity can absorb scarce capital, labour, or productive capacity, diverting resources away from civilian sectors that would otherwise drive development.","PM12","Development-oriented indirect offset design","Specifying development-oriented indirect offsets and emphasizing transparency increases the likelihood that promised activities are realized and development-relevant."
"P096","PM4","Offsets crowd out civilian resources","Offset activity can absorb scarce capital, labour, or productive capacity, diverting resources away from civilian sectors that would otherwise drive development.","PM13","Offsets shift competition to bundled content","Requiring offset packages redirects competition away from price/quality and toward bundled content, even when that content is unrelated to the procured item."
"P097","PM4","Offsets crowd out civilian resources","Offset activity can absorb scarce capital, labour, or productive capacity, diverting resources away from civilian sectors that would otherwise drive development.","PM14","Rent extraction via offset requirements","Offset policy compels suppliers to transfer economic activity domestically, extracting rents from the price margin and enabling governments to pursue multiple objectives through procurement."
"P098","PM4","Offsets crowd out civilian resources","Offset activity can absorb scarce capital, labour, or productive capacity, diverting resources away from civilian sectors that would otherwise drive development.","PM15","Flexibility reduces mandate diseconomies","Rigid, one-size mandates constrain negotiation and force offsets where market exchange would be superior, creating diseconomies of scale and scope; variable policies increase flexibility and reduce these losses."
"P099","PM4","Offsets crowd out civilian resources","Offset activity can absorb scarce capital, labour, or productive capacity, diverting resources away from civilian sectors that would otherwise drive development.","PM16","Offsets justified in high-hazard exchanges","Offsets can substitute for poorly functioning markets in high-hazard exchanges and yield reputational or capability gains; imposing offsets in low-hazard contexts or misaligned with seller capabilities creates opportunity costs and raises costs."
"P100","PM4","Offsets crowd out civilian resources","Offset activity can absorb scarce capital, labour, or productive capacity, diverting resources away from civilian sectors that would otherwise drive development.","PM17","Administrative burden and rent-seeking","Offset regimes can generate administrative burdens and rent-seeking, including proposal overload, superficial evaluation criteria, and discretionary behaviour that raises costs without improving transfer outcomes."
"P101","PM4","Offsets crowd out civilian resources","Offset activity can absorb scarce capital, labour, or productive capacity, diverting resources away from civilian sectors that would otherwise drive development.","PM18","Objective ambiguity undermines evaluation","Mixed objectives and unclear incidence of benefits make it difficult to specify evaluation criteria and determine net beneficiaries of mandated offsets."
