"source_yaml","source_file","cmo_id","context","mechanism","outcome","context_tags_raw","mechanism_tags_raw","outcome_tags_raw","context_tags","mechanism_tags","outcome_tags","programme","country","evidence_type","evidence_type_narrative","research_questions_mapped","supporting_evidence","supporting_evidence_paraphrase","confidence","confidence_justification","mechanism_theme_keys","mechanism_theme_labels"
"arms_trade_offsets_chapters.yml","01-do-offsets-mitigate-or-magnify-the-military-burden.pdf","01_do_offsets_mitigate_or_magnify_the_military_burden_pdf__cmo_011","In some cases, buyers may secure offset commitments as outright grants for development-oriented infrastructure that would not otherwise be provided.","External grant funding adds resources for development projects, partially counterbalancing the resource drain of the arms purchase.","The economic burden of the arms deal is softened (to a limited extent).","grant_financing;development_infrastructure","external_resource_transfer","softened_burden;limited_counterweight","development_infrastructure;grant_financing","external_capital_inflow","limited_counterweight;softened_burden","unknown_programme","multi_country","theory_model","A conceptual chapter analyzing the political economy of offsets and their likely development impacts, with illustrative examples rather than systematic data.","rq3","such offsets could provide a limited counterweight to the economic burden of the arms deal","The text identifies grant-type counter-investment as a form of offset that can, in principle, counterweight procurement’s economic burden.","medium","The mechanism is plausible and explicitly stated, but it is presented as a possibility rather than documented outcomes from a specific case.","resource_diversion_industrial_erosion","Resource diversion / industrial erosion"
"arms_trade_offsets_chapters.yml","01-do-offsets-mitigate-or-magnify-the-military-burden.pdf","01_do_offsets_mitigate_or_magnify_the_military_burden_pdf__cmo_012","LDCs are chronically capital short and military procurement drains financial capital and hard currency.","When offset investment is financed from outside the purchasing country, it increases net capital availability rather than reshuffling scarce domestic finance.","Net inflows of capital can partially mitigate the development cost of the arms purchase.","ldc_capital_shortage;military_procurement_drain","external_capital_inflow","increased_capital_availability;partial_mitigation","ldc_capital_shortage;military_procurement_drain","external_capital_inflow","increased_capital_availability;partial_mitigation","unknown_programme","multi_country","theory_model","A conceptual chapter analyzing the political economy of offsets and their likely development impacts, with illustrative examples rather than systematic data.","rq3","If it is fully financed by capital raised outside the weapons purchasing nation, then it is actually bringing in fresh capital.","The chapter states that offsets only increase capital availability if they are externally financed, supporting a mechanism of genuine capital inflow.","high","The passage explicitly distinguishes external financing as the condition for net new capital.","resource_diversion_industrial_erosion","Resource diversion / industrial erosion"
"arms_trade_offsets_chapters.yml","01-do-offsets-mitigate-or-magnify-the-military-burden.pdf","01_do_offsets_mitigate_or_magnify_the_military_burden_pdf__cmo_013","Large foreign firms may be able to raise funds inside LDCs, competing with domestic entrepreneurs for scarce financial capital.","When offset activity is financed domestically, it crowds out local investment opportunities by absorbing limited capital from within the purchasing country.","The domestic shortage of financial capital is exacerbated and development can be impeded.","ldc_finance_constraints;domestic_capital_markets","crowding_out;domestic_finance_capture","worsened_capital_shortage;impeded_development","domestic_capital_markets;ldc_finance_constraints","crowding_out","impeded_development;worsened_capital_shortage","unknown_programme","multi_country","theory_model","A conceptual chapter analyzing the political economy of offsets and their likely development impacts, with illustrative examples rather than systematic data.","rq3","it actually exacerbates the shortage of financial capital facing domestic producers","The author warns that if foreign contractors fund offset projects with local capital, they worsen domestic producers’ capital constraints rather than add net resources.","high","The statement is explicit about the crowding-out dynamic and its effect on domestic producers.","resource_diversion_industrial_erosion","Resource diversion / industrial erosion"
"arms_trade_offsets_chapters.yml","01-do-offsets-mitigate-or-magnify-the-military-burden.pdf","01_do_offsets_mitigate_or_magnify_the_military_burden_pdf__cmo_014","Direct offsets can expose workers to military-oriented production environments that differ from civilian cost-sensitive production contexts.","Skills developed for performance-driven, cost-insensitive military production are not easily transferable (or require costly reshaping) to civilian production needs.","Skill acquisition via direct offsets yields limited development benefit and may be inefficient for resource-constrained countries.","direct_offsets;skill_development;ldc_resource_constraints","low_skill_transferability;costly_reshaping","limited_human_capital_gain;inefficiency","direct_offsets;ldc_resource_constraints;skill_development","weak_spin_offs","inefficiency;limited_human_capital_gain","unknown_programme","multi_country","theory_model","A conceptual chapter analyzing the political economy of offsets and their likely development impacts, with illustrative examples rather than systematic data.","rq3","Not all skills relevant to performance-driven, relatively cost-insensitive, military-oriented production are easily transferable to civilian-oriented, more cost-sensitive production.","The chapter argues that military-production skills may not transfer well to civilian production and may require costly adaptation, limiting development value.","high","The text explicitly states the transferability limitation and frames it as a key constraint.","technology_transfer_learning","Technology transfer / learning-by-doing"
"arms_trade_offsets_chapters.yml","01-do-offsets-mitigate-or-magnify-the-military-burden.pdf","01_do_offsets_mitigate_or_magnify_the_military_burden_pdf__cmo_015","Skilled labor is scarce in many weapons-purchasing countries, especially LDCs.","If offset projects simply hire already skilled workers from the limited local pool, they preempt labor needed by domestic civilian producers.","Development is hindered unless the offset activity has substantially greater development value than displaced civilian activity.","skilled_labor_scarcity;ldc_context","labor_preemption;crowding_out","impeded_development;reduced_civilian_capacity","ldc_context;skilled_labor_scarcity","crowding_out;labor_preemption","impeded_development;reduced_civilian_capacity","unknown_programme","multi_country","theory_model","A conceptual chapter analyzing the political economy of offsets and their likely development impacts, with illustrative examples rather than systematic data.","rq3","the offset activity may in fact be preempting labor resources that are already critically short in supply to domestic civilian producers","The text explains that hiring scarce skilled workers for offset activity can divert labor away from domestic civilian producers, undermining development.","high","The claim is explicitly stated and the causal logic is clearly described.","resource_diversion_industrial_erosion","Resource diversion / industrial erosion"
"arms_trade_offsets_chapters.yml","01-do-offsets-mitigate-or-magnify-the-military-burden.pdf","01_do_offsets_mitigate_or_magnify_the_military_burden_pdf__cmo_016","Monitoring whether offset activities expand the skill base (versus reallocating existing skilled labor) is a key design challenge.","Requiring employer-financed training that raises lower-skilled workers to the needed level expands the local skill pool rather than draining it.","Human-capital accumulation is more likely to contribute positively to development than offsets that rely on hiring existing skilled workers.","offset_design;training_programs","employer_financed_training;skill_pool_expansion","increased_transferable_skills;improved_development_prospects","offset_design;training_program","workforce_training","improved_development_prospects;increased_transferable_skills","unknown_programme","multi_country","theory_model","A conceptual chapter analyzing the political economy of offsets and their likely development impacts, with illustrative examples rather than systematic data.","rq3","the only way to avoid draining the local pool of skilled labor is to require that the labor employed in the offset activity","The author argues that offsets should be structured so firms train workers up to required skill levels, implying this design can prevent labor crowding-out and improve development contribution.","medium","The mechanism is presented as a design prescription rather than documented outcomes, so evidentiary support is indirect.","technology_transfer_learning","Technology transfer / learning-by-doing"
"arms_trade_offsets_chapters.yml","01-do-offsets-mitigate-or-magnify-the-military-burden.pdf","01_do_offsets_mitigate_or_magnify_the_military_burden_pdf__cmo_017","Direct offsets may involve transferring military-oriented technologies with the expectation of civilian “spin-offs” or “spillovers.”","Because military technologies often require costly reshaping for civilian uses, pursuing civilian technology directly is generally more cost-effective.","Technology-transfer via direct military offsets is unlikely to deliver efficient development gains.","direct_offsets;technology_transfer","costly_technology_reshaping;weak_spin_offs","limited_development_gains;low_cost_effectiveness","direct_offsets;technology_transfer","weak_spin_offs","limited_development_gains;low_cost_effectiveness","unknown_programme","multi_country","theory_model","A conceptual chapter analyzing the political economy of offsets and their likely development impacts, with illustrative examples rather than systematic data.","rq3","It is almost always much more cost effective to go after civilian technology directly","The text argues that relying on military-to-civilian spillovers is problematic and that direct acquisition of civilian technology is typically more cost-effective.","high","The claim is directly stated, though it is a generalized assessment rather than a case-specific measurement.","technology_transfer_learning","Technology transfer / learning-by-doing"
"arms_trade_offsets_chapters.yml","01-do-offsets-mitigate-or-magnify-the-military-burden.pdf","01_do_offsets_mitigate_or_magnify_the_military_burden_pdf__cmo_018","LDC environments may lack compatible utilities, supporting technologies, and maintenance capacity assumed by MDC-designed technologies.","When transferred technologies are incompatible with the receiving environment, they fail to function effectively or to integrate into productive systems.","Technology transfer via offsets may yield little or no positive impact on development.","ldc_infrastructure_constraints;technology_compatibility","mismatch_failure;absorption_limits","no_positive_impact;failed_technology_transfer","ldc_infrastructure_constraints;technology_compatibility","absorption_limits","failed_technology_transfer;no_positive_impact","unknown_programme","multi_country","theory_model","A conceptual chapter analyzing the political economy of offsets and their likely development impacts, with illustrative examples rather than systematic data.","rq3","no guarantee that the technology will have any positive impact on the receiving country’s economy","The chapter explains that technologies designed for MDC contexts may not work well in LDC environments (utilities, maintenance, complementary systems), so transfer may not yield benefits.","high","The passage directly states that transfer alone does not ensure positive impact and provides reasons for incompatibility.","technology_transfer_learning","Technology transfer / learning-by-doing"
"arms_trade_offsets_chapters.yml","01-do-offsets-mitigate-or-magnify-the-military-burden.pdf","01_do_offsets_mitigate_or_magnify_the_military_burden_pdf__cmo_019","Technology transfer via offsets is more likely to be beneficial when it is indirect and designed with attention to compatibility and implementation.","Selecting appropriate technologies and implementing transfer carefully increases the likelihood that transferred technologies are usable and development-relevant.","Indirect offsets have a higher probability of yielding positive technology-related development benefits than direct offsets.","indirect_offsets;technology_transfer","careful_selection;implementation_quality","improved_tech_transfer_outcomes","indirect_offsets;technology_transfer","implementation_quality","improved_tech_transfer_outcomes","unknown_programme","multi_country","theory_model","A conceptual chapter analyzing the political economy of offsets and their likely development impacts, with illustrative examples rather than systematic data.","rq3","Properly designed indirect offsets have a higher likelihood of transferring technologies in a way that will have positive benefits than do direct offsets.","The author explicitly asserts that well-designed indirect offsets are more likely than direct offsets to transfer technologies with positive benefits, contingent on careful selection and implementation.","high","The statement is explicit about the comparative likelihood and the conditional design requirements.","technology_transfer_learning","Technology transfer / learning-by-doing"
"arms_trade_offsets_chapters.yml","01-do-offsets-mitigate-or-magnify-the-military-burden.pdf","01_do_offsets_mitigate_or_magnify_the_military_burden_pdf__cmo_020","States procure military equipment based on perceived security needs, and similar equipment may be available from multiple suppliers under similar risk conditions.","Offsets function as a differentiator between suppliers when core capability requirements are fixed.","Offsets influence supplier selection (and at most marginal quantities) rather than fundamentally driving procurement need or type.","procurement_choice_set;multiple_suppliers","supplier_differentiation","supplier_selection_shift;marginal_quantity_effect","multiple_suppliers;procurement_choice_set","competitor_advantage","marginal_quantity_effect;supplier_selection_shift","unknown_programme","multi_country","theory_model","A conceptual chapter analyzing the political economy of offsets and their likely development impacts, with illustrative examples rather than systematic data.","rq3","offsets should only influence which particular supplier to choose.","The author argues offsets should not change what or how much equipment a nation buys, but can be used to pick among comparable suppliers.","high","The claim is directly stated as the author’s analytic conclusion.","resource_diversion_industrial_erosion","Resource diversion / industrial erosion"
"arms_trade_offsets_chapters.yml","01-do-offsets-mitigate-or-magnify-the-military-burden.pdf","01_do_offsets_mitigate_or_magnify_the_military_burden_pdf__cmo_021","Some procurement proposals face public opposition and may be only weakly related to legitimate security concerns.","Promised offset benefits provide an argument that reframes the purchase as economically beneficial, reducing resistance.","Arms purchases that would otherwise face opposition can proceed more readily.","contested_procurement;weak_security_rationale","economic_justification_frame;persuasion_inducement","procurement_approval","contested_procurement;weak_security_rationale","benefit_justification;offset_as_marketing","procurement_approval","unknown_programme","multi_country","theory_model","A conceptual chapter analyzing the political economy of offsets and their likely development impacts, with illustrative examples rather than systematic data.","rq3","The promised benefit of offsets has sometimes been used to overcome public opposition to purchases of military equipment","The chapter states that offsets are sometimes used to overcome public opposition to arms purchases, indicating a mechanism where offset promises change political feasibility.","high","The passage explicitly describes offsets being used to overcome opposition (though it does not quantify frequency).","resource_diversion_industrial_erosion","Resource diversion / industrial erosion"
"arms_trade_offsets_chapters.yml","01-do-offsets-mitigate-or-magnify-the-military-burden.pdf","01_do_offsets_mitigate_or_magnify_the_military_burden_pdf__cmo_022","Where a significant domestic arms industry exists, it has incentives to protect jobs and rents associated with defense production.","Domestic arms-industry influence pushes governments to demand direct offsets that subsidize local military industry as part of foreign procurement.","Direct offsets are adopted, sustaining local military industry and shaping procurement arrangements.","domestic_arms_industry;political_influence","industry_lobbying;direct_offset_pressure","subsidized_local_industry;direct_offsets_adoption","domestic_arms_industry;political_influence","industry_lobbying","direct_offsets_adoption;subsidized_local_industry","unknown_programme","multi_country","theory_model","A conceptual chapter analyzing the political economy of offsets and their likely development impacts, with illustrative examples rather than systematic data.","rq3","direct offsets (which in effect subsidize local military industry)","The author notes that domestic arms industries can influence governments to seek direct offsets, which function as subsidies for local military industry.","high","The text explicitly describes domestic-industry influence and characterizes direct offsets as subsidy-like.","governance_opacity_rent_seeking","Governance opacity / rent-seeking"
"arms_trade_offsets_chapters.yml","01-do-offsets-mitigate-or-magnify-the-military-burden.pdf","01_do_offsets_mitigate_or_magnify_the_military_burden_pdf__cmo_023","When a weapons purchase will occur regardless of offsets, policymakers may try to reduce collateral economic harm through offset design choices.","Requiring development-oriented indirect offsets (capital inflows, appropriate technology transfer, transferable skills, and/or new markets) and emphasizing transparency increases the chance of realization and development relevance.","Offsets are more likely to modestly soften procurement’s economic burden and support broader development objectives (subject to practical enforceability).","procurement_inevitability;offset_design","development_oriented_indirect_offsets;transparency_design","softened_burden;improved_development_alignment","offset_design;procurement_inevitability","development_support;transparency_design","improved_development_alignment;softened_burden","unknown_programme","multi_country","theory_model","A conceptual chapter analyzing the political economy of offsets and their likely development impacts, with illustrative examples rather than systematic data.","rq3","if the military equipment in question is to be purchased anyway, it is worth attaching the requirement for development-oriented offsets as a condition of purchase","The chapter recommends that if procurement proceeds anyway, offsets should be designed as development-oriented indirect offsets with transparency to maximize the chance they add development value.","low","This is a prescriptive recommendation about what offsets should do, not an observed outcome; the mechanism is plausible but evidentiary support is indirect.","governance_opacity_rent_seeking;resource_diversion_industrial_erosion","Governance opacity / rent-seeking;Resource diversion / industrial erosion"
"arms_trade_offsets_chapters.yml","02-using-procurement-offsets-as-an-economic-development-strategy.pdf","02_using_procurement_offsets_as_an_economic_development_strategy_pdf__cmo_001","Governments use procurement in settings where sellers can compete on price and quality, but an offset requirement shifts attention to side benefits.","By requiring benefits packages alongside the base good, offsets redirect competition away from price/quality toward bundled content that may be unrelated to the procured item.","Procurement becomes less price-disciplined and can be less efficient than market exchange.","procurement_policy;price_competition","content_over_price;bundling_logic","reduced_efficiency;weakened_price_signal","price_competition;procurement_policy","bundling_logic","reduced_efficiency;weakened_price_signal","unknown_programme","multi_country","theory_model","The chapter develops a prescriptive procurement-policy model (policy matrix) using transaction cost theory and the capabilities view, illustrated with cited country examples.","rq3","offsets encourage sellers to focus on benefits packages that may have no relevance to the procured good","The text argues offsets redirect competition from price/quality to side packages, which can reduce procurement efficiency relative to markets.","high","The mechanism and directional effect are stated explicitly in the introduction.","resource_diversion_industrial_erosion","Resource diversion / industrial erosion"
"arms_trade_offsets_chapters.yml","02-using-procurement-offsets-as-an-economic-development-strategy.pdf","02_using_procurement_offsets_as_an_economic_development_strategy_pdf__cmo_002","Governments have bargaining power (oligopsony) in procurement and may face market imperfections that make pure price discounts less attractive or less feasible.","Offset policy extracts rent off the price margin by requiring sellers to transfer economic activity into the domestic economy, allowing governments to pursue multiple objectives through procurement.","Governments receive industrial/technology/market-access benefits tied to the purchase rather than only a lower base price.","oligopsony_power;market_imperfections","rent_extraction_off_price_margin;activity_transfer_requirement","technology_acquisition;industry_support;market_access","market_imperfections;oligopsony_power","rent_extraction","industry_support;market_access;technology_transfer","unknown_programme","multi_country","theory_model","The chapter develops a prescriptive procurement-policy model (policy matrix) using transaction cost theory and the capabilities view, illustrated with cited country examples.","rq2;rq3","Governments use offset policy because it is a convenient way to extract rent and to achieve multiple objectives.","The chapter links offsets to rent extraction and multi-objective policy (technology, capabilities, markets, exports, alliances), supporting a mechanism of off-price rent capture.","high","The claim is explicit and directly describes the policy logic behind offsets.","governance_opacity_rent_seeking","Governance opacity / rent-seeking"
"arms_trade_offsets_chapters.yml","02-using-procurement-offsets-as-an-economic-development-strategy.pdf","02_using_procurement_offsets_as_an_economic_development_strategy_pdf__cmo_003","Offset policies are evaluated in political environments where benefits and costs have different visibility to stakeholders.","Because expected benefits are more salient than expected costs, officials adopt offsets even when net welfare effects are ambiguous.","Offsets are politically attractive and more likely to be chosen than equivalent price-discount approaches.","political_incentives;cost_visibility","salience_bias;political_attractiveness","increased_offset_adoption","cost_visibility;political_incentives","salience_bias","increased_offset_adoption","unknown_programme","multi_country","theory_model","The chapter develops a prescriptive procurement-policy model (policy matrix) using transaction cost theory and the capabilities view, illustrated with cited country examples.","rq3","Offsets are politically attractive largely because the expected benefits are more visible than the expected costs.","The text explicitly attributes offset adoption to political salience of visible benefits versus less visible costs.","high","The causal claim about political attractiveness is directly stated.","governance_opacity_rent_seeking","Governance opacity / rent-seeking"
"arms_trade_offsets_chapters.yml","02-using-procurement-offsets-as-an-economic-development-strategy.pdf","02_using_procurement_offsets_as_an_economic_development_strategy_pdf__cmo_004","Mandatory offset policies are applied broadly across all (or most) government procurement categories.","A one-size-fits-all mandate constrains negotiation dimensions and creates diseconomies of scale and scope by forcing offsets where market exchange would be superior.","Welfare losses arise and a more selective or flexible policy is preferable in most settings.","mandatory_offsets;across_the_board_policy","constrained_negotiation;diseconomies_of_scope","welfare_loss;suboptimal_policy","across_the_board_policy;mandatory_offsets","diseconomies_of_scope","suboptimal_policy;welfare_loss","unknown_programme","multi_country","theory_model","The chapter develops a prescriptive procurement-policy model (policy matrix) using transaction cost theory and the capabilities view, illustrated with cited country examples.","rq3","any attempt to use a mandatory offset policy for all government procurement","The chapter’s main finding is that broad mandatory offsets restrict negotiation and create diseconomies, implying lower welfare than more flexible designs.","high","The claim is explicitly identified as the chapter’s main finding.","resource_diversion_industrial_erosion","Resource diversion / industrial erosion"
