Article title,Authors,Journal title,Volume,Issue,Pages,Volume year,DOI,Published online date,URL,Article views (as of 24-Jan-2026),Crossref citations (as of 24-Jan-2026)
Defence procurement and domestic industry: The Australian experience,"Peter Hall, Stefan Markowski, Douglas Thomson",Defence and Peace Economics,9,1-2,p137 - p165,1998,10.1080/10430719808404898,19-Oct-2007,https://doi.org/10.1080/10430719808404898,520.0,2.0
Power without a cause? Germany's conflict avoidance and the integration of European defence procurement,"Felix Biermann, Moritz Weiss",Journal of European Integration,43,2,p227 - p242,2021,10.1080/07036337.2021.1877691,22-Feb-2021,https://doi.org/10.1080/07036337.2021.1877691,1132.0,14.0
Abu Dhabi's drive for defence industrialization: paramountcy of the economic diversification agenda,"Ash Rossiter, Athol Yates",Defence Studies,25,2,p407 - p424,2025,10.1080/14702436.2025.2472699,07-Mar-2025,https://doi.org/10.1080/14702436.2025.2472699,2369.0,1.0
Switzerland - The pragmatic approach to defence procurement,Stefan Markowski,Defence and Peace Economics,9,1-2,p99 - p118,1998,10.1080/10430719808404896,19-Oct-2007,https://doi.org/10.1080/10430719808404896,277.0,2.0
"The EU, NATO and the European defence market: do institutional responses to defence globalisation matter?",Daniel Fiott,European Security,26,3,p398 - p414,2017,10.1080/09662839.2017.1352582,17-Aug-2017,https://doi.org/10.1080/09662839.2017.1352582,2327.0,16.0
Defence R&D and the Management of Australia's Defence Technology,"Albert Dessi, Peter Hall, Stefan Markowski",Prometheus,15,2,p223 - p251,1997,10.1080/08109029708632073,21-Oct-2008,https://doi.org/10.1080/08109029708632073,135.0,6.0
Chapter Ten: Reforming India's defence industries,,The Military Balance,110,1,p473 - p478,2010,10.1080/04597220903545890,03-Feb-2010,https://doi.org/10.1080/04597220903545890,566.0,0.0
Offset Multipliers and Defence Industrial Policy Efficiency,Ugurhan G Berkok,Defence and Peace Economics,36,4,p469 - p492,2025,10.1080/10242694.2024.2378278,06-Aug-2024,https://doi.org/10.1080/10242694.2024.2378278,410.0,1.0
Defence procurement as an industrial policy tool: The Spanish experience,Jordi Molas-Gallart,Defence and Peace Economics,9,1-2,p63 - p81,1998,10.1080/10430719808404894,19-Oct-2007,https://doi.org/10.1080/10430719808404894,245.0,10.0
"Navigating the contours of maritime defence cooperation between India and Japan: Impulses, challenges and opportunities",Mohor Chakraborty,Maritime Affairs: Journal of the National Maritime Foundation of India,16,2,p106 - p118,2020,10.1080/09733159.2020.1833514,22-Oct-2020,https://doi.org/10.1080/09733159.2020.1833514,231.0,1.0
Defence industrial policy in small and semi-industrialized countries: an application for Argentina,Martín Novella,Defence Studies,25,2,p361 - p382,2025,10.1080/14702436.2025.2472703,03-Mar-2025,https://doi.org/10.1080/14702436.2025.2472703,177.0,0.0
Defence industry policies of small and medium powers: an introduction to the challenges and prospects,"Çağlar Kurç, Martin Novella, Ash Rossiter",Defence Studies,25,2,p247 - p257,2025,10.1080/14702436.2025.2472723,05-Mar-2025,https://doi.org/10.1080/14702436.2025.2472723,3527.0,0.0
"The Trans-Pacific Partnership: Defence, Industry and Strategy",Daniel Fiott,The International Spectator,51,4,p119 - p130,2016,10.1080/03932729.2016.1237107,24-Oct-2016,https://doi.org/10.1080/03932729.2016.1237107,577.0,1.0
Country survey XVII: New zealand's defence policy,"J Alexander, Alan B King, W Robert",Defence and Peace Economics,13,4,p287 - p309,2002,10.1080/10242690212355,17-Sep-2010,https://doi.org/10.1080/10242690212355,147.0,4.0
Technology transfer: Examining Britain's defence industrial participation policy,"Ron Matthews, Richard Williams",The RUSI Journal,145,2,p26 - p31,2000,10.1080/03071840008446504,20-Mar-2008,https://doi.org/10.1080/03071840008446504,133.0,2.0
The evolution of Saudi Arabia's defence industrial base: historic drivers and future implications,Charles Forrester,Defense & Security Analysis,41,4,p605 - p624,2025,10.1080/14751798.2025.2549527,12-Sep-2025,https://doi.org/10.1080/14751798.2025.2549527,142.0,0.0
The Role of Stakeholders in Managing Government Research and Development Funding for Defence Industrial Innovation: The Case of Malaysia,"Kogila Balakrishnan, Treesna Nadira Johar",Defence and Peace Economics,34,8,p1110 - p1129,2023,10.1080/10242694.2022.2100588,22-Jul-2022,https://doi.org/10.1080/10242694.2022.2100588,4105.0,5.0
"Government Purchasing and Offsets Policies in Industrial Innovation Report by the Australian Science and Technology Council (ASTEC) (AGPS, Canberra, 1984) pp. vii + 63, ISBN 0 644 03574 9",Peter Liesch,Prometheus,3,1,p182 - p185,1985,10.1080/08109028508628982,21-Oct-2008,https://doi.org/10.1080/08109028508628982,8.0,0.0
Transformation or Stagnation? The South African Defence Industry in the Early 21st Century,"J Paul Dunne, Richard Haines",Defence Studies,6,2,p169 - p188,2006,10.1080/14702430601056113,11-Dec-2006,https://doi.org/10.1080/14702430601056113,201.0,4.0
"Industrial participation, investment and growth: The case of South Africa's defence-related industry","Peter Batchelor, Paul Dunne",Development Southern Africa,17,3,p417 - p435,2000,10.1080/713661409,01-Jul-2010,https://doi.org/10.1080/713661409,397.0,11.0
Success and failures of the Gripen offsets in the Visegrad Group countries,Zsolt Lazar,Defense & Security Analysis,35,3,p283 - p307,2019,10.1080/14751798.2019.1640423,09-Aug-2019,https://doi.org/10.1080/14751798.2019.1640423,383.0,5.0
The role of defence countertrade in Chinese geoeconomic diplomacy,"Jonata Anicetti, Ron Matthews",Journal of Strategic Studies,47,5,p612 - p642,2024,10.1080/01402390.2024.2327842,01-Apr-2024,https://doi.org/10.1080/01402390.2024.2327842,3440.0,2.0
EDGE and SAMI: a comparison of the Gulf's defence champions,Albert Vidal Ribe,Defense & Security Analysis,41,4,p625 - p645,2025,10.1080/14751798.2025.2549197,09-Sep-2025,https://doi.org/10.1080/14751798.2025.2549197,211.0,0.0
Unexpected compliance? The implementation of the Defence and Security Procurement Directive,Johanna Strikwerda,Journal of European Integration,40,7,p889 - p904,2018,10.1080/07036337.2018.1482288,11-Jun-2018,https://doi.org/10.1080/07036337.2018.1482288,859.0,6.0
'Explaining the persistence of defense offsets in a supply-driven arms trade',Jonata Anicetti,Defence and Peace Economics,37,2,p242 - p259,2026,10.1080/10242694.2025.2490168,14-Apr-2025,https://doi.org/10.1080/10242694.2025.2490168,348.0,0.0
Book review,Matthew R H Uttley,Defence and Peace Economics,9,1-2,p167 - p169,1998,10.1080/10430719808404899,19-Oct-2007,https://doi.org/10.1080/10430719808404899,37.0,0.0
Country survey VI: Australia,"Peter Hall, Stefan Markowski",Defence and Peace Economics,6,2,p89 - p114,1995,10.1080/10430719508404817,19-Oct-2007,https://doi.org/10.1080/10430719508404817,51.0,5.0
Small Country 'Total Defence': A Case Study of Singapore,"Ron Matthews, Nellie Zhang Yan",Defence Studies,7,3,p376 - p395,2007,10.1080/14702430701559289,12-Sep-2007,https://doi.org/10.1080/14702430701559289,3200.0,12.0
Saudi Arabia's defence industrial transition: from vision to reality?,"Irfan Ansari, Ron Matthews, Hafeez Iskandar Bin Romainor",Defence and Peace Economics,,,p1 - p25,5187,10.1080/10242694.2025.2557883,19-Sep-2025,https://doi.org/10.1080/10242694.2025.2557883,2449.0,0.0
"A tale of two allied defence departments: new assurance initiatives for managing increasing system complexity, interconnectedness and vulnerability","Keith F Joiner, Malcolm G Tutty",Australian Journal of Multi-Disciplinary Engineering,14,1,p4 - p25,2018,10.1080/14488388.2018.1426407,18-Jan-2018,https://doi.org/10.1080/14488388.2018.1426407,1020.0,17.0
Management Reforms in the Defence Sector,"Ann Lundberg, Ellen Rova",Defence and Peace Economics,33,4,p454 - p474,2022,10.1080/10242694.2021.1888014,04-Mar-2021,https://doi.org/10.1080/10242694.2021.1888014,853.0,5.0
British and German initiatives for defence cooperation: the Joint Expeditionary Force and the Framework Nations Concept,Håkon Lunde Saxi,Defence Studies,17,2,p171 - p197,2017,10.1080/14702436.2017.1307690,05-Apr-2017,https://doi.org/10.1080/14702436.2017.1307690,2074.0,15.0
Latin America in Step with Global Defence Offset Phenomenon,"Monica Herrera, Ron Matthews",The RUSI Journal,159,6,p50 - p57,2014,10.1080/03071847.2014.990815,23-Dec-2014,https://doi.org/10.1080/03071847.2014.990815,342.0,4.0
Technology Offsets in International Defence Procurement,Zsolt Lazar,Defense & Security Analysis,36,2,p245 - p247,2020,10.1080/14751798.2020.1750188,17-Apr-2020,https://doi.org/10.1080/14751798.2020.1750188,276.0,2.0
Industrial Development and Government Offsets: Procurement Policy and Emerging New Technology Sectors,Neal Ryan,"Policy, Organisation and Society",3,1,p62 - p68,1991,10.1080/10349952.1991.11876760,10-May-2017,https://doi.org/10.1080/10349952.1991.11876760,194.0,0.0
Sweden and Swedish Defence - Introduction to the Special Issue,Peter Nordlund,Defence and Peace Economics,33,4,p387 - p398,2022,10.1080/10242694.2021.2003529,23-Nov-2021,https://doi.org/10.1080/10242694.2021.2003529,6044.0,4.0
Armaments after autonomy: Military adaptation and the drive for domestic defence industries,Marc R DeVore,Journal of Strategic Studies,44,3,p325 - p359,2021,10.1080/01402390.2019.1612377,30-May-2019,https://doi.org/10.1080/01402390.2019.1612377,2103.0,11.0
Offsets and Defense Procurement in the Czech Republic: A Case Study,"Jomana Amara, Petr Pargac",European Security,18,1,p63 - p80,2009,10.1080/09662830903432672,22-Dec-2009,https://doi.org/10.1080/09662830903432672,271.0,5.0
Offset to decline for Britain's defence-industrial base?,Ron Matthews,The RUSI Journal,136,4,p58 - p63,1991,10.1080/03071849108445555,20-Mar-2008,https://doi.org/10.1080/03071849108445555,14.0,4.0
Defence industrial policy - a sound security strategy or an economic fallacy?,"Arne Martin Fevolden, Kari Tvetbråten",Defence Studies,16,2,p176 - p192,2016,10.1080/14702436.2016.1169893,07-Apr-2016,https://doi.org/10.1080/14702436.2016.1169893,974.0,8.0
Weighing Giants: Taking Stock of the Expansion of China's Defence Industry,"Lucie Béraud-Sudreau, Meia Nouwens",Defence and Peace Economics,32,2,p151 - p177,2021,10.1080/10242694.2019.1632536,27-Jun-2019,https://doi.org/10.1080/10242694.2019.1632536,1426.0,10.0
Challenges of defence procurement,"Peter Hall, Stefan Markowski",Defence and Peace Economics,9,1-2,p3 - p37,1998,10.1080/10430719808404892,19-Oct-2007,https://doi.org/10.1080/10430719808404892,1222.0,21.0
Between defence autarky and dependency: the dynamics of Turkish defence industrialization,Çağlar Kurç,Defence Studies,17,3,p260 - p281,2017,10.1080/14702436.2017.1350107,31-Jul-2017,https://doi.org/10.1080/14702436.2017.1350107,1634.0,22.0
Defense and Commercial Trade Offsets: Impacts on the U.S. Industrial Base Raise Economic and National Security Concerns,Carol Dawn Petersen,Journal of Economic Issues,45,2,p485 - p492,2011,10.2753/jei0021-3624450226,08-Dec-2014,https://doi.org/10.2753/jei0021-3624450226,107.0,8.0
COLLABORATION AND EUROPEAN DEFENCE INDUSTRIAL POLICY,Keith Hartley,Defence and Peace Economics,19,4,p303 - p315,2008,10.1080/10242690802221585,15-Jul-2008,https://doi.org/10.1080/10242690802221585,1931.0,50.0
Defence-specific inflation - the Swedish perspective,Peter Nordlund,Defence and Peace Economics,27,2,p258 - p279,2016,10.1080/10242694.2015.1096571,30-Dec-2015,https://doi.org/10.1080/10242694.2015.1096571,636.0,7.0
Defence diplomacy and the Australian defence force: smokescreen or strategy?,"Daniel Baldino, Andrew Carr",Australian Journal of International Affairs,70,2,p139 - p158,2016,10.1080/10357718.2015.1113229,12-Jan-2016,https://doi.org/10.1080/10357718.2015.1113229,3123.0,17.0
Militarisation of cooperation against mass migration - the Central European Defence Cooperation (CEDC),Bence Nemeth,Defense & Security Analysis,34,1,p16 - p34,2018,10.1080/14751798.2018.1421401,15-Feb-2018,https://doi.org/10.1080/14751798.2018.1421401,1381.0,5.0
Defence procurement in the UK∗,Keith Hartley,Defence and Peace Economics,9,1-2,p39 - p61,1998,10.1080/10430719808404893,19-Oct-2007,https://doi.org/10.1080/10430719808404893,722.0,14.0
Canadian defence policy and spending,"BINYAM SOLOMON, J CRAIG STONE",Defence and Peace Economics,16,3,p145 - p169,2005,10.1080/10242690500123414,22-Aug-2006,https://doi.org/10.1080/10242690500123414,1332.0,7.0
Defence industries in East Asia,,The Adelphi Papers,39,329,p45 - p63,1999,10.1080/05679329908449598,02-May-2008,https://doi.org/10.1080/05679329908449598,126.0,0.0
"""New Defence"": enter the GCC states?","Martin Novella, Ash Rossiter",Defense & Security Analysis,41,4,p731 - p746,2025,10.1080/14751798.2025.2558384,23-Sep-2025,https://doi.org/10.1080/14751798.2025.2558384,1531.0,0.0
Singapore's 'Total Defence' Strategy,"Fitriani Bintang Timur, Ron Matthews",Defence and Peace Economics,35,5,p638 - p658,2024,10.1080/10242694.2023.2187924,09-Mar-2023,https://doi.org/10.1080/10242694.2023.2187924,25202.0,9.0
On What Topics Does the Scientific Community Cooperate in Defense Economics? A Science Mapping of the First 30 Years of the Journal Defence and Peace Economics,David Moroz,Defence and Peace Economics,36,4,p555 - p576,2025,10.1080/10242694.2024.2377964,11-Jul-2024,https://doi.org/10.1080/10242694.2024.2377964,280.0,2.0
A conceptual framework of defence innovation,Tai Ming Cheung,Journal of Strategic Studies,44,6,p775 - p801,2021,10.1080/01402390.2021.1939689,22-Jun-2021,https://doi.org/10.1080/01402390.2021.1939689,18611.0,19.0
"The Serbian defence institution: the need for clear policy guidance to improve the Serbian defence planning, management, and command processes",Blažo M Radović,Defense & Security Analysis,34,3,p211 - p231,2018,10.1080/14751798.2018.1500753,20-Aug-2018,https://doi.org/10.1080/14751798.2018.1500753,197.0,0.0
"Delivering more competition to the EU defence markets? Examining the defence procurement directive, Directive 2009/81/EC","Lauri Kananoja, Jesse Kosonen, Juha-Matti Lehtonen, Julia Lintunen",Defence and Peace Economics,37,2,p139 - p157,2026,10.1080/10242694.2025.2533753,12-Aug-2025,https://doi.org/10.1080/10242694.2025.2533753,203.0,0.0
The Five Power Defence Arrangements and Defense Diplomacy in Southeast Asia,Ralf Emmers,Asian Security,8,3,p271 - p286,2012,10.1080/14799855.2012.723921,25-Oct-2012,https://doi.org/10.1080/14799855.2012.723921,1910.0,8.0
"Defence exhibitions in the United Arab Emirates and Saudi Arabia: strategic signalling, industrial aspirations, and economic diversification","Kristian P Alexander, Leonardo Jacopo Maria Mazzucco",Defense & Security Analysis,41,4,p646 - p668,2025,10.1080/14751798.2025.2551380,04-Sep-2025,https://doi.org/10.1080/14751798.2025.2551380,174.0,0.0
The decline of South Africa's defence industry,"Collin Koh, Ron Matthews",Defense & Security Analysis,37,3,p251 - p273,2021,10.1080/14751798.2021.1961070,08-Aug-2021,https://doi.org/10.1080/14751798.2021.1961070,10227.0,6.0
Local defence forces and counterinsurgency in Afghanistan: learning from the CIA's Village Defense Program in South Vietnam,Jon Strandquist,Small Wars & Insurgencies,26,1,p90 - p113,2015,10.1080/09592318.2014.959772,12-Dec-2014,https://doi.org/10.1080/09592318.2014.959772,1598.0,7.0
"Short-term readiness, long-term innovation: the European defence industry in turbulent times","Antonio Calcara, Andrea Gilli, Mauro Gilli",Defence Studies,23,4,p626 - p643,2023,10.1080/14702436.2023.2277439,03-Dec-2023,https://doi.org/10.1080/14702436.2023.2277439,1513.0,6.0
Restructuring the European defence industrial base,"William Walker, Susan Willett",Defence Economics,4,2,p141 - p160,1993,10.1080/10430719308404756,19-Oct-2007,https://doi.org/10.1080/10430719308404756,55.0,11.0
The European Union's role in European defence industry policy,"Jan Joel Andersson, Malena Britz",Defence Studies,25,2,p322 - p341,2025,10.1080/14702436.2025.2472694,07-Mar-2025,https://doi.org/10.1080/14702436.2025.2472694,6422.0,1.0
How can the European Commission help Europe's defence industry? By making the most out of what it is already doing,Julia Muravska,Defense & Security Analysis,36,4,p450 - p452,2020,10.1080/14751798.2020.1857913,20-Jan-2021,https://doi.org/10.1080/14751798.2020.1857913,475.0,2.0
Operational research in the UK Ministry of Defence: an overview,R A Forder,Journal of the Operational Research Society,55,4,p319 - p332,2004,10.1057/palgrave.jors.2601657,21-Dec-2017,https://doi.org/10.1057/palgrave.jors.2601657,226.0,11.0
Ensuring security of supply: pragmatic defence autarky and Finland's defence industry,"Brendon J Cannon, Olli Pekka Suorsa",Defence Studies,25,2,p258 - p278,2025,10.1080/14702436.2025.2472696,10-Mar-2025,https://doi.org/10.1080/14702436.2025.2472696,1490.0,0.0
How to measure value from defence spending? The Malaysian case study,Kogila Balakrishnan,Defense & Security Analysis,37,4,p387 - p413,2021,10.1080/14751798.2021.1995966,11-Nov-2021,https://doi.org/10.1080/14751798.2021.1995966,703.0,0.0
Unpacking the varying strategic logics of total defence,"Jan Angstrom, Kristin Ljungkvist",Journal of Strategic Studies,47,4,p498 - p522,2024,10.1080/01402390.2023.2260958,27-Sep-2023,https://doi.org/10.1080/01402390.2023.2260958,6324.0,4.0
'Build the golf course first' - an organisational and strategic management perspective on UK defence reviews,"Nicholas Dew, Bence Nemeth",Defence Studies,24,1,p25 - p45,2024,10.1080/14702436.2023.2213654,15-May-2023,https://doi.org/10.1080/14702436.2023.2213654,3522.0,1.0
The European defence fund: a step towards a single market for defence?,Ester Sabatino,Journal of European Integration,44,1,p133 - p148,2022,10.1080/07036337.2021.2011264,07-Feb-2022,https://doi.org/10.1080/07036337.2021.2011264,3448.0,23.0
South African defence decision-making: analysing dysfunctional approaches,"Abel Esterhuyse, Col Ret Gerhard M Louw",Defense & Security Analysis,38,4,p389 - p409,2022,10.1080/14751798.2022.2110701,10-Oct-2022,https://doi.org/10.1080/14751798.2022.2110701,311.0,1.0
In defence of Soft OR: Reflections on teaching Soft OR,"Fran Ackermann, James Alexander, Brandon Pincombe, Ashley Stephens",Journal of the Operational Research Society,71,1,p1 - p15,2020,10.1080/01605682.2018.1542960,26-Feb-2019,https://doi.org/10.1080/01605682.2018.1542960,590.0,25.0
SADC'S Mutual Defence Pact: a final move to a security community?,Naison Ngoma,The Round Table,93,375,p411 - p423,2004,10.1080/0035853042000249997,24-Jan-2007,https://doi.org/10.1080/0035853042000249997,447.0,3.0
Service exchange requirements of a defence force portfolio,"Andrew Flahive, Donald Lowe, Hossein Seif Zadeh, Nicholas Tay, Mathew Zuparic",Journal of the Operational Research Society,75,11,p2200 - p2218,2024,10.1080/01605682.2024.2310057,15-May-2024,https://doi.org/10.1080/01605682.2024.2310057,159.0,0.0
Country survey: military expenditure and defence policy in Norway 1970-2013,"Kjetil Hove, Alexander Urnes Johnson, Tobias Lillekvelland",Defence and Peace Economics,28,6,p669 - p685,2017,10.1080/10242694.2015.1101896,29-Oct-2015,https://doi.org/10.1080/10242694.2015.1101896,614.0,6.0
"Defense equipment, exports and offsets: The UK experience","Keith Hartley, Stephen Martin",Defense Analysis,11,1,p21 - p30,1995,10.1080/07430179508405641,19-Oct-2007,https://doi.org/10.1080/07430179508405641,26.0,6.0
"Implementing defence policy: a benchmark-""lite""","Khrystyna Holynska, Karlijn Jans, Deborah Lassche, Mischa Sibbel, Stephan de Spiegeleire",Defense & Security Analysis,35,1,p59 - p81,2019,10.1080/14751798.2019.1565365,01-Feb-2019,https://doi.org/10.1080/14751798.2019.1565365,847.0,3.0
Israel's defence industries - an overview,Uzi Rubin,Defence Studies,17,3,p228 - p241,2017,10.1080/14702436.2017.1350823,31-Jul-2017,https://doi.org/10.1080/14702436.2017.1350823,1542.0,9.0
European defence research in crisis? The way towards strategic autonomy,Bjørn Olav Knutsen,Global Affairs,2,3,p287 - p295,2016,10.1080/23340460.2016.1219152,01-Sep-2016,https://doi.org/10.1080/23340460.2016.1219152,711.0,0.0
THE FUTURE OF UK DEFENCE RESEARCH,David Kirkpatrick,Defence and Peace Economics,19,6,p479 - p491,2008,10.1080/10242690701750668,19-Nov-2008,https://doi.org/10.1080/10242690701750668,418.0,6.0
The Philippine defence-development-disaster security paradigm,"Ava Avila, Ron Matthews",Defense & Security Analysis,38,3,p269 - p283,2022,10.1080/14751798.2022.2085538,21-Jun-2022,https://doi.org/10.1080/14751798.2022.2085538,517.0,3.0
Conservative party defence policy,Michael Portillo,The RUSI Journal,142,3,p29 - p32,1997,10.1080/03071849708446145,20-Mar-2008,https://doi.org/10.1080/03071849708446145,71.0,0.0
The UK defence electronics industry: adjusting to change,"DEREK BRADDON, PAUL DOWDALL, KEITH HARTLEY",Defence and Peace Economics,15,6,p565 - p586,2004,10.1080/1024269042000246684,25-Jan-2007,https://doi.org/10.1080/1024269042000246684,371.0,6.0
British security and defence policy,Menzies CBE QC MP Campbell,The RUSI Journal,142,2,p35 - p38,1997,10.1080/03071849708446126,20-Mar-2008,https://doi.org/10.1080/03071849708446126,95.0,0.0
The Brazilian National Defence Strategy: Defence Expenditure Choices and Military Power,"Paul Blackwell, Leandro Bolzan de Rezende",Defence and Peace Economics,31,7,p869 - p884,2020,10.1080/10242694.2019.1588030,07-Mar-2019,https://doi.org/10.1080/10242694.2019.1588030,745.0,5.0
Non-governmental pro-defence organisations in Poland - untapped potential for enhancing Polish defence capabilities?,Urszula Staśkiewicz,Defense & Security Analysis,38,2,p125 - p145,2022,10.1080/14751798.2022.2059049,11-Apr-2022,https://doi.org/10.1080/14751798.2022.2059049,343.0,0.0
Globalisation in the defence industry: An exploration of the paradigm for us and European defence firms and the implications for being global players,"Derrick J Neal, Trevor Taylor",Defence and Peace Economics,12,4,p337 - p338,2001,10.1080/10430710108404992,19-Oct-2007,https://doi.org/10.1080/10430710108404992,655.0,10.0
Disjointing state and war: defence policy as hauntology,Petter Narby,Critical Military Studies,11,2,p151 - p174,2025,10.1080/23337486.2024.2387891,02-Sep-2024,https://doi.org/10.1080/23337486.2024.2387891,1185.0,0.0
ACCRUAL BUDGETING AND DEFENCE FUNDING: THEORY AND SIMULATIONS,"Binyam Solomon, Craig Stone",Defence and Peace Economics,24,3,p211 - p227,2013,10.1080/10242694.2012.691200,07-Jun-2012,https://doi.org/10.1080/10242694.2012.691200,661.0,5.0
Upon entering NATO: explaining defence willingness among Swedes,"Thomas Persson, Sten Widmalm",European Security,33,4,p690 - p710,2024,10.1080/09662839.2023.2294078,26-Dec-2023,https://doi.org/10.1080/09662839.2023.2294078,3805.0,6.0
The economic effects of reducing us defence spending,"G Wayne Glass, H O Stekler, R William Thomas",Defence Economics,2,3,p183 - p197,1991,10.1080/10430719108404691,19-Oct-2007,https://doi.org/10.1080/10430719108404691,36.0,7.0
The strategic defence review,George MP Robertson,The RUSI Journal,142,5,p1 - p5,1997,10.1080/03071849708446179,20-Mar-2008,https://doi.org/10.1080/03071849708446179,141.0,2.0
Affordability Aspects in the Development of Defence Equipment: Case Studies of Concept Generation in the Defence Industry,"Daniel Amann, Ingrid Kihlander, Mats Magnusson",Defence and Peace Economics,32,7,p847 - p863,2021,10.1080/10242694.2020.1733896,27-Feb-2020,https://doi.org/10.1080/10242694.2020.1733896,3416.0,4.0
Defence industries: Progress in decline?: An overview,Michael CB Bell,The RUSI Journal,138,3,p48 - p51,1993,10.1080/03071849308445717,20-Mar-2008,https://doi.org/10.1080/03071849308445717,10.0,0.0
Parliament and defence: A summary of parliament's role in scrutinising and controlling defence policy and the armed forces,Tom Dodd,The RUSI Journal,143,3,p29 - p35,1998,10.1080/03071849808446264,20-Mar-2008,https://doi.org/10.1080/03071849808446264,166.0,3.0
Defense planning beyond rationalism: the third offset strategy as a case of metagovernance,Magnus Christiansson,Defence Studies,18,3,p262 - p278,2018,10.1080/14702436.2017.1335581,02-Jun-2017,https://doi.org/10.1080/14702436.2017.1335581,1403.0,10.0
Europe's defence industrial strategy and the EDTIB: a connectedness-based analysis of major European defence industries,"Christos Kollias, Panayiotis Tzeremes",European Security,,,p1 - p27,5187,10.1080/09662839.2025.2500296,09-May-2025,https://doi.org/10.1080/09662839.2025.2500296,499.0,0.0
Into the black box? Technology sharing in major arms transfers and beyond,Björn Hagelin,Defense & Security Analysis,28,2,p163 - p175,2012,10.1080/14751798.2012.678146,11-May-2012,https://doi.org/10.1080/14751798.2012.678146,595.0,2.0
Defence procurement in perspective: what the history of the aircraft industry can tell us about UK defence procurement,Matthew Powell,Defense & Security Analysis,39,1,p15 - p33,2023,10.1080/14751798.2023.2159103,27-Dec-2022,https://doi.org/10.1080/14751798.2023.2159103,3095.0,1.0
Change as a cost driver in defence procurement,Maria Hedvall,Defence and Peace Economics,15,1,p101 - p108,2004,10.1080/1024269042000164522,25-Jan-2007,https://doi.org/10.1080/1024269042000164522,253.0,4.0
The Greek defence industry: from crisis to equilibrium,Spyridon Plakoudas,Defense & Security Analysis,39,1,p34 - p46,2023,10.1080/14751798.2023.2162140,23-Feb-2023,https://doi.org/10.1080/14751798.2023.2162140,315.0,0.0
